collided,completed,episode,episode_length,hitch_angle_variance,jackknifed,label,max_abs_cte_tractor,max_abs_cte_trailer,max_abs_hitch_angle,max_inference_ms,max_progress,mean_abs_cte_tractor,mean_abs_cte_trailer,mean_abs_heading_err_tractor,mean_abs_heading_err_trailer,mean_abs_hitch_angle,mean_inference_ms,mean_min_lidar,min_clearance_m,p95_inference_ms,rms_cte_tractor,rms_cte_trailer,speed_variance,steering_rate_rms,steering_rate_variance,total_reward,truncated
False,False,1,71,0.2540766172995971,True,reverse/lidar_24/multiplicative,2.5989782661266085,4.092677013086379,1.6328708086610706,0.49822599976323545,0.42915980743396326,1.6145002279710263,3.1774959451559455,3.150606891424354,2.888716568306333,0.3449679415284605,0.20415757796694328,0.12112676005967905,nan,0.2178430004278198,1.7992340171375072,3.3299210529916854,0.9847304023734846,0.2756213269134523,0.07285846808170388,-640.0810677103493,False
False,True,2,195,0.013151204835157124,False,reverse/lidar_24/multiplicative,1.9761564554494837,2.118114773196354,0.17902148069618296,0.5144260067027062,1.0,0.8285620195332299,0.8635337737786349,3.14791926994907,3.1463339580497505,0.10763558861271652,0.1989945384243933,0.2703461530116888,nan,0.20313899585744366,0.9813801654759671,1.0515540761646902,0.37619488836699433,0.16844204352992595,0.028354499444993738,210.3560379155443,False
False,True,3,196,0.0074997218951710735,False,reverse/lidar_24/multiplicative,1.2740891730238881,1.3719441485200243,0.13354553184288065,0.5293950089253485,1.0,0.6430271586782942,0.6249562682693679,3.1323281803484253,3.1340226834547047,0.08006149707846508,0.20045585210473105,0.2827933686880433,nan,0.20784300431841984,0.7041970452972797,0.7086248053431939,0.3725984711721741,0.18874689911926945,0.0356199183114115,213.20384076549226,False
False,True,4,201,0.023046381930547,False,reverse/lidar_24/multiplicative,2.2505907629443525,2.45036858548517,0.28929957083785407,0.5023260018788278,1.0,0.9429768416793064,0.9652448538368072,3.132133339472675,3.1290161522817415,0.1302048500696314,0.20289803500083364,0.26235074657409346,nan,0.2095480012940243,1.1562266636172382,1.1966580039068424,0.3627726941344925,0.1727393764740464,0.029834663242769448,209.9696839342627,False
False,True,5,200,0.023141335101165825,False,reverse/lidar_24/multiplicative,2.068702461313135,2.334534877821187,0.28142394907461155,0.5085960001451895,1.0,1.0154879185509336,1.1366308642919838,3.1329456019945154,3.1304223233318123,0.13982436666480486,0.2007010499073658,0.2509250000119209,nan,0.20530145193333738,1.1817617170485724,1.351419244058945,0.36388218490309654,0.1434197424668485,0.020556949415052362,208.1211309133543,False
False,True,6,201,0.02756384034842039,False,reverse/lidar_24/multiplicative,2.4265699064970176,2.880728232116984,0.31639649990157537,0.5180260050110519,1.0,0.9760823426990548,1.1341940781939188,3.1478910840882217,3.150399229090288,0.1463895553954974,0.20111236405334162,0.25303482579354625,nan,0.21023800945840776,1.2051678216213983,1.394933914969755,0.36207534994381807,0.20640405407921653,0.04258974061476603,203.39017694099996,False
False,True,7,199,0.016151575070559046,False,reverse/lidar_24/multiplicative,2.265172526489864,2.513094124704399,0.25820835086357263,0.5080560076748952,1.0,0.8487700754475932,0.8547837942146483,3.140878667809247,3.14068978266745,0.1068621079167852,0.19841347217042674,0.2705276380831273,nan,0.20165109017398208,1.0786802414127463,1.1321043872841907,0.3660873653008491,0.1786956455768862,0.0319320080343188,211.81825801243707,False
False,True,8,198,0.012616292023415646,False,reverse/lidar_24/multiplicative,1.7518269106986253,1.7524313349611778,0.17524520621095485,0.5087059980724007,1.0,0.8188301415643809,0.8560353666725654,3.124027643973198,3.12848130643232,0.1036422379078329,0.19780849437335168,0.2658080801066726,nan,0.20254299161024392,0.9366689234135646,0.9809298912414026,0.36839449207891456,0.1695899114409743,0.028756850305959186,210.48994657366273,False
False,True,9,196,0.006702478845038674,False,reverse/lidar_24/multiplicative,0.8064819233486753,0.930892978165888,0.12655350799826515,0.5135859973961487,1.0,0.5018747053785654,0.4754764849305864,3.1417503776226856,3.1394827212574374,0.07462782550962795,0.19814183705959146,0.29242346922353823,nan,0.2019137391471304,0.5274744698118927,0.504251497860934,0.37229627626404893,0.2057737537649872,0.042340939789515156,215.78112308485058,False
False,True,10,197,0.008624450713253483,False,reverse/lidar_24/multiplicative,1.2477514156529905,1.3525292910319342,0.1535420643298986,0.5086360033601522,1.0,0.6093712191908532,0.6201730755629428,3.1407555202736956,3.1419108373783966,0.08318529400479743,0.19888840679275485,0.28444162313708193,nan,0.20330300321802497,0.6783419311075487,0.6995838207601771,0.3703028963518565,0.19343051525446311,0.037410855124084014,213.59122116229915,False
False,True,11,199,0.022982379503994017,False,reverse/lidar_24/multiplicative,2.583958747289213,2.9932978610212415,0.32780663572518165,0.5137060070410371,1.0,0.9166566791527229,0.9441954135541363,3.142993715392886,3.1414377622894865,0.12743938788984993,0.19966530177482503,0.2647236178268739,nan,0.2021120977587998,1.1733350512868796,1.2803157093539665,0.3658231233378993,0.1708181646257593,0.02917381986224324,202.50110468839108,False
False,True,12,197,0.007386579673877955,False,reverse/lidar_24/multiplicative,1.9168239140776506,2.0552084660445993,0.16736187250305656,0.48875599168241024,1.0,0.741264024445126,0.7388690053307535,3.139613667787403,3.1374887895851713,0.07158989877066906,0.19772518290263522,0.27970812178505255,nan,0.20187219779472798,0.9143397777959785,0.9540725128771588,0.3700240903601045,0.18361657531840928,0.03371362719940086,213.96858246600203,False
True,False,13,43,0.22436754230467432,False,reverse/lidar_24/multiplicative,3.15557689707959,3.5940404067531446,1.3138341532027251,0.5114850064273924,0.329563223364083,1.0344750851478333,2.73594831832327,3.1998085012983166,2.7220042793058186,0.3520891645186572,0.2050736992143441,0.14081395296163338,nan,0.20936299697495997,1.2497483256289903,2.89299937619731,1.490828828109044,0.38454114368857034,0.1456303899126968,-538.8076999473262,False
False,True,14,195,0.024655333908168167,False,reverse/lidar_24/multiplicative,2.2250639249511015,2.649598438109291,0.2863112115517321,0.5089350015623495,1.0,0.9276929279899261,1.0870563607736459,3.144813536744164,3.1460338491140427,0.13749861124047386,0.19733182591899562,0.2553846150636673,nan,0.20144729933235794,1.1316953007139847,1.3266872210854337,0.377286488419359,0.18860712767276536,0.0355725333687258,207.3144591898082,False
False,True,15,200,0.030230893230778502,False,reverse/lidar_24/multiplicative,2.986983851286249,3.8663710912858376,0.3448521715114117,0.532585007022135,1.0,1.4569666250893925,1.4221549051910187,3.1498614388842325,3.1485926977605287,0.1519946777645322,0.199658629426267,0.24304999958723783,nan,0.20386550240800716,1.6744260300305458,1.878321381606886,0.3639231306898516,0.15091259979112973,0.022774506943590983,124.8447621702364,False
True,False,16,36,0.20740494646649416,False,reverse/lidar_24/multiplicative,3.3042071998464912,4.2003159421052905,1.326833299781848,0.5235150019871071,0.30324016083578237,0.89011725049072,2.9833875507172376,3.223832398908625,2.610647357540287,0.34567975035161486,0.2055422798245369,0.12743055572112402,nan,0.21920624203630723,1.2013925345451133,3.1828880507020263,1.7165718834617012,0.37244397850605543,0.1283382214303494,-559.5844498061718,False
False,True,17,195,0.019999300283541393,False,reverse/lidar_24/multiplicative,2.0109211558446645,2.196270263263464,0.23113246178117386,0.5066450103186071,1.0,0.9750241864437426,1.0980392526098255,3.1295664410395836,3.1274100139139853,0.1306770812891431,0.1960741326165123,0.2532820517436052,nan,0.20052169857081026,1.1428498371101696,1.2829258251733844,0.3783836633795418,0.14257124688625722,0.020323771396169973,208.35360650225127,False
False,True,18,195,0.003691004907644535,False,reverse/lidar_24/multiplicative,0.7374460601634223,0.7805466999225106,0.11679952728607557,0.5088659963803366,1.0,0.43203071701805246,0.41907698533462445,3.133512473819235,3.1316010134534302,0.05808655126356563,0.19579949805166763,0.2983076928517757,nan,0.2009722971706651,0.4603033242671387,0.4433079508816618,0.37472792884904105,0.22703500895787557,0.051541799607951626,218.1873109274316,False
False,True,19,195,0.006052612200526755,False,reverse/lidar_24/multiplicative,0.8567001748627385,0.6647031881689753,0.18754957325808164,0.5044660065323114,1.0,0.4421349611955356,0.4073020552165641,3.1493495696577973,3.14729684414828,0.0678167378680338,0.19556104641359967,0.2993846159714919,nan,0.20048030273756012,0.47924830137299773,0.43159567883632144,0.37443670087536746,0.22287016217630312,0.04966338413323785,217.81556520815928,False
False,True,20,197,0.007926449803070813,False,reverse/lidar_24/multiplicative,0.8378105703080074,0.7941126594553053,0.13381081458458732,0.5123459995957091,1.0,0.5512262085671681,0.4898161321528281,3.137438137179841,3.1380343827040655,0.0818548928226841,0.195122137192996,0.2899492384516043,nan,0.1995130005525425,0.5751410752158246,0.5117735879610773,0.3705945777061928,0.21166548929632406,0.044802279165539784,214.79083076277774,False
