collided,completed,episode,episode_length,hitch_angle_variance,jackknifed,label,max_abs_cte_tractor,max_abs_cte_trailer,max_abs_hitch_angle,max_inference_ms,mean_abs_cte_tractor,mean_abs_cte_trailer,mean_abs_heading_err_tractor,mean_abs_heading_err_trailer,mean_abs_hitch_angle,mean_inference_ms,mean_min_lidar,min_clearance_m,p95_inference_ms,rms_cte_tractor,rms_cte_trailer,speed_variance,steering_rate_rms,steering_rate_variance,total_reward,truncated
True,False,1,42,0.0026087170369247354,False,forward/bev_unet_frozen/dense,3.1322835184150244,0.4975112073822813,0.1639455659282468,1.7398549825884402,0.9252488280330441,0.32517010525695006,0.1829408126008641,0.057621693738642656,0.06401917107774134,1.4681381192834426,nan,nan,1.554420989123173,1.2681648475937473,0.35219455033875147,5.2448565839624684e-05,0.028374965042562615,1.2920244916301187e-06,21.003933284431696,False
True,False,2,47,0.0036429114267904706,False,forward/bev_unet_frozen/dense,3.163958034853432,0.557921715144678,0.19377449235233135,1.5368570166174322,0.8642444687924741,0.3607269267214941,0.16826845696719744,0.07126666756269752,0.0764845982804158,1.4513103617107534,nan,nan,1.5248513052938506,1.2184928396485095,0.38234124103999506,8.264629820386424e-05,0.028323485258238232,1.4182468347335791e-06,30.734109461307526,False
True,False,3,57,0.006226150844483639,False,forward/bev_unet_frozen/dense,3.303050204771983,0.5519476799803555,0.2532784669752297,1.9429830135777593,0.8326250115741697,0.35639968229535574,0.15029347514761096,0.0795224539318544,0.1016122089484917,1.4935912469426464,nan,nan,1.8423679925035685,1.2009685694927794,0.3808303871121641,0.00017494941921843233,0.028029430721197526,1.4906489818395863e-06,42.713654696941376,False
True,False,4,79,0.014114969867617212,False,forward/bev_unet_frozen/dense,3.088370380494357,0.7540420876484158,0.38437313717027083,1.7702449986245483,0.5813546689646115,0.4764292685069417,0.12636190415397638,0.08794536496497068,0.16042306333558828,1.4679949720319407,nan,nan,1.588579014060087,0.856237912959958,0.5035195946204631,0.0005551891753715463,0.027262122382611997,2.430034795159692e-06,117.26699504256248,False
True,False,5,84,0.015803547332727846,False,forward/bev_unet_frozen/dense,2.6824256967344087,1.623936842990272,0.4081645147295496,1.8122339970432222,0.8390041477395116,0.7737697490770754,0.15532877403138937,0.06521697572186438,0.17176155439746052,1.47599929672045,nan,nan,1.644347485853359,1.0104683565188284,0.914489090411093,0.0007121985294965865,0.026736645455686926,4.262046834113712e-06,87.95256445882842,False
True,False,6,67,0.009974677752099847,False,forward/bev_unet_frozen/dense,3.0470592285523344,0.6719539718511249,0.32018153991473985,1.7356849857605994,0.706065097541981,0.35811243381706714,0.12761595466996165,0.09682356117216065,0.13113597275513156,1.4619974144942947,nan,nan,1.5706302918260917,1.0172589873692268,0.3905848446591138,0.0004252461422072827,0.028107299044365163,8.967559654575815e-07,80.59128294885159,False
True,False,7,35,0.0015364980005126972,False,forward/bev_unet_frozen/dense,2.908272829420628,0.619616366989817,0.12539759747192697,1.7090059991460294,0.8559414839669703,0.38693531148687843,0.20610140147264222,0.06048726149272846,0.048280137196637894,1.461072829053072,nan,nan,1.5376206807559352,1.1743230961002824,0.41324578212220486,4.904210697302421e-05,0.028350939975135395,5.054294613488282e-07,22.883720561861992,False
True,False,8,68,0.009518269414130979,False,forward/bev_unet_frozen/dense,3.0241632083373378,0.7223898152589817,0.3151217798874904,1.716936007142067,0.6183377743191246,0.463327897028583,0.1361226002401907,0.06964672376139489,0.12908723903681774,1.4768506764941027,nan,nan,1.643439001054503,0.9005375147450492,0.49793406318462047,0.00037181235576381436,0.027135423450626195,1.5940571558169828e-06,94.54927642643452,False
True,False,9,69,0.010091695942041125,False,forward/bev_unet_frozen/dense,3.094235961719309,0.671668781887246,0.32435835582743033,1.795174990547821,0.6396895766378966,0.42594500352901377,0.1311691845581899,0.07772186692275364,0.13293974597823652,1.4778834175439957,nan,nan,1.6697895887773484,0.9609990030677056,0.4567542006734969,0.0004082238669938034,0.027523078688492488,1.60296392556252e-06,89.37172204256058,False
True,False,10,54,0.005429042549301117,False,forward/bev_unet_frozen/dense,3.1640338338510197,0.5706367836054204,0.2361967691488898,1.609366008779034,0.903282713713463,0.33811384733671573,0.1487260541351156,0.07863402997632865,0.09471528896218864,1.4674044057890703,nan,nan,1.5405769983772186,1.2431551768262379,0.3792315309477113,0.00018033826969971882,0.02804861342324811,1.1079619294457537e-06,35.03754591010511,False
