t_ns,v0,v1
1785939483008949565,-0.4363323152065277,-1.0
1785939483109576074,-0.4363323152065277,-1.0
1785939483208305623,-0.4363323152065277,-1.0
1785939483310453144,-0.4363323152065277,-1.0
1785939483415450363,-0.4363323152065277,-1.0
1785939483510665231,-0.4363323152065277,-1.0
1785939483608455388,-0.4363323152065277,-1.0
1785939483709261007,-0.4363323152065277,-1.0
1785939483812779071,-0.4363323152065277,-1.0
1785939483908178938,-0.4363323152065277,-1.0
1785939484009049872,-0.4363323152065277,-1.0
1785939484109621723,-0.4363323152065277,-1.0
1785939484209155203,-0.4363323152065277,-1.0
1785939484308501413,-0.4363323152065277,-1.0
1785939484420728287,-0.4363323152065277,-1.0
1785939484510744449,-0.4363323152065277,-1.0
1785939484610102019,-0.4363323152065277,-1.0
1785939484708768910,-0.4363323152065277,-1.0
1785939484808909259,-0.4363323152065277,-1.0
1785939484911464218,-0.4363323152065277,-1.0
1785939485009534096,-0.4363323152065277,-1.0
1785939485127104736,-0.4363323152065277,-1.0
1785939485212978101,-0.4363323152065277,-1.0
1785939485310072362,-0.4363323152065277,-1.0
1785939485411126694,-0.4363323152065277,-1.0
1785939485522332637,-0.4363323152065277,-1.0
1785939485609961550,-0.4363323152065277,-1.0
1785939485709693565,-0.4363323152065277,-1.0
1785939485808817239,-0.4363323152065277,-1.0
1785939485908406817,-0.4363323152065277,-1.0
1785939486008822439,-0.4363323152065277,-1.0
1785939486113994223,-0.4363323152065277,-1.0
1785939486214896614,-0.4363323152065277,-1.0
1785939486308919634,-0.4363323152065277,-1.0
1785939486411521859,-0.4363323152065277,-1.0
1785939486509244141,-0.4363323152065277,-1.0
1785939486609785367,-0.4363323152065277,-1.0
1785939486710293569,-0.4363323152065277,-1.0
1785939486809495133,-0.4363323152065277,-1.0
1785939486912115887,-0.3468843698501587,-1.0
1785939487025106786,-0.34535008668899536,-1.0
1785939487114966304,-0.29134878516197205,-1.0
1785939487211322875,-0.2166547030210495,-1.0
1785939487311111468,-0.1443333774805069,-1.0
1785939487410906205,-0.04415588080883026,-1.0
1785939487510936758,0.033277612179517746,-1.0
1785939487612025651,0.11712375283241272,-1.0
1785939487731676554,0.16666974127292633,-1.0
1785939487812873920,0.26991236209869385,-1.0
1785939487911807284,0.27274665236473083,-1.0
1785939488012346654,0.2793879806995392,-1.0
1785939488118516201,0.28804755210876465,-1.0
1785939488212367375,0.35835129022598267,-1.0
1785939488312472970,0.3364333212375641,-1.0
1785939488415249185,0.3007567226886749,-1.0
1785939488527125102,0.22530385851860046,-1.0
1785939488610547504,0.12064017355442047,-1.0
1785939488714606259,0.0012013521045446396,-1.0
1785939488810830730,-0.09242206066846848,-1.0
1785939488914936014,-0.21539853513240814,-1.0
1785939489010808921,-0.33048442006111145,-1.0
1785939489111636237,-0.3647518455982208,-1.0
1785939489214180732,-0.3571854829788208,-1.0
1785939489311455511,-0.39824339747428894,-1.0
1785939489410707157,-0.35805192589759827,-1.0
1785939489511923767,-0.30638250708580017,-1.0
1785939489612782636,-0.24254058301448822,-1.0
1785939489711094666,-0.14291033148765564,-1.0
1785939489812498034,-0.021240228787064552,-1.0
1785939489919406230,0.0808836817741394,-1.0
1785939490011167092,0.12152677774429321,-1.0
1785939490112118509,0.16511653363704681,-1.0
1785939490211540465,0.23417450487613678,-1.0
1785939490310755502,0.2808992266654968,-1.0
1785939490411950575,0.26280006766319275,-1.0
1785939490511221454,0.2938021421432495,-1.0
1785939490611792441,0.30471310019493103,-1.0
1785939490711643884,0.05864277482032776,-1.0
1785939490813003859,0.005092056933790445,-1.0
1785939490913134287,-0.06445962935686111,-1.0
1785939491013123015,-0.07381036132574081,-1.0
1785939491113057244,-0.09179677069187164,-1.0
1785939491211886124,-0.09858392179012299,-1.0
1785939491312948712,-0.08017881214618683,-1.0
1785939491412284938,-0.05267699435353279,-1.0
1785939491511771216,-0.03257116302847862,-1.0
1785939491611653380,-0.02661943808197975,-1.0
1785939491716232248,-0.040668755769729614,-1.0
1785939491810498700,-0.027575591579079628,-1.0
1785939491911955382,-0.0208634864538908,-1.0
1785939492012245720,-0.010970047675073147,-1.0
1785939492112199982,0.03550248220562935,-1.0
1785939492210879737,0.043217193335294724,-1.0
1785939492312184318,0.08407724648714066,-1.0
1785939492410724868,0.06773450970649719,-1.0
1785939492511426580,0.03646424040198326,-1.0
1785939492614856801,0.025512108579277992,-1.0
1785939492720278322,0.023753322660923004,-1.0
1785939492812405181,0.025831138715147972,-1.0
1785939492910285100,-0.0597168505191803,-1.0
1785939493013429552,-0.0682220607995987,-1.0
1785939493120881158,-0.03795775771141052,-1.0
1785939493212171253,-0.05956567823886871,-1.0
1785939493316459935,-0.06945384293794632,-1.0
1785939493421168216,-0.0771673247218132,-1.0
1785939493511129465,-0.06027444824576378,-1.0
1785939493616099035,-0.03644021600484848,-1.0
1785939493711013061,0.11429321765899658,-1.0
1785939493817031530,0.13100838661193848,-1.0
1785939493910720075,0.1258937269449234,-1.0
1785939494011980174,0.08645512163639069,-1.0
1785939494111120968,0.06650742888450623,-1.0
1785939494217041642,0.050977256149053574,-1.0
1785939494312623659,0.04016658291220665,-1.0
1785939494410923145,0.028247931972146034,-1.0
1785939494510985827,0.022632980719208717,-1.0
1785939494611629777,0.008856740780174732,-1.0
1785939494727057848,0.005706431809812784,-1.0
1785939494811185426,-0.043286483734846115,-1.0
