t_ns,x,y,yaw,vx,vy,wz
1785939482976390533,8.736005874781323,0.39985831892892265,-0.02594449198753367,0.0,0.0,0.0
1785939483024601332,8.736006397402281,0.3998395608686985,-0.02578491828000853,0.0,0.0,0.0
1785939483050176701,8.736006397402281,0.3998395608686985,-0.02578491828000853,0.0,0.0,0.0
1785939483100652858,8.736006397402281,0.3998395608686985,-0.02578491828000853,0.0,0.0,0.0
1785939483151799085,8.736006397402281,0.3998395608686985,-0.02578491828000853,0.0,0.0,0.0
1785939483215999454,8.735826917138361,0.3998591276928233,-0.02590325972977048,0.0,0.0,0.0
1785939483265622653,8.735680733195519,0.39987762575203806,-0.025961733332354024,0.0,0.0,0.0
1785939483299984083,8.735680733195519,0.39987762575203806,-0.025961733332354024,0.0,0.0,0.0
1785939483350583699,8.735680733195519,0.39987762575203806,-0.025961733332354024,0.0,0.0,0.0
1785939483414847590,8.735574773913283,0.399899934568005,-0.025906910888980804,0.0,0.0,0.0
1785939483464002869,8.735486496710669,0.399921523459479,-0.02587330324032883,0.0,0.0,0.0
1785939483501226957,8.735486496710669,0.399921523459479,-0.025873303240328833,0.0,0.0,0.0
1785939483550485632,8.735486496710669,0.399921523459479,-0.025873303240328837,0.0,0.0,0.0
1785939483615046941,8.735394311333662,0.39994974059338007,-0.0257193192749595,0.0,0.0,0.0
1785939483663553238,8.735317228194896,0.3999772260055802,-0.025625304557318852,0.0,0.0,0.0
1785939483699477057,8.735317228194896,0.3999772260055802,-0.025625304557318856,0.0,0.0,0.0
1785939483751110885,8.735317228194896,0.3999772260055802,-0.02562530455731886,0.0,0.0,0.0
1785939483800514844,8.735317228194896,0.3999772260055802,-0.025625304557318863,0.0,0.0,0.0
1785939483866022650,8.735395089053432,0.3999642257600197,-0.025597016346138667,0.0,0.0,0.0
1785939483915721692,8.735459654672159,0.39995171695976145,-0.02558099635230152,0.0,0.0,0.0
1785939483949903275,8.735459654672159,0.39995171695976145,-0.02558099635230152,0.0,0.0,0.0
1785939484001694261,8.735459654672159,0.39995171695976145,-0.02558099635230152,0.0,0.0,0.0
1785939484051079052,8.735459654672159,0.39995171695976145,-0.02558099635230152,0.0,0.0,0.0
1785939484116414915,8.7354835979843,0.3999261158419098,-0.025608875828641593,0.0,0.0,0.0
1785939484165526865,8.735503716703828,0.39990093184430514,-0.025626730431732726,0.0,0.0,0.0
1785939484200552541,8.735503716703828,0.39990093184430514,-0.025626730431732726,0.0,0.0,0.0
1785939484249204987,8.735503716703828,0.39990093184430514,-0.025626730431732726,0.0,0.0,0.0
1785939484315018532,8.735552402462327,0.39992127750282563,-0.025536392766950834,0.0,0.0,0.0
1785939484363864264,8.735593127939024,0.399941563854245,-0.02548431745550213,0.0,0.0,0.0
1785939484402275368,8.735593127939024,0.399941563854245,-0.02548431745550213,0.0,0.0,0.0
1785939484451336628,8.735593127939024,0.399941563854245,-0.02548431745550213,0.0,0.0,0.0
1785939484520685557,8.735361823931143,0.39997084531445126,-0.025762513039481544,0.0,0.0,0.0
1785939484565817595,8.735170461561294,0.39999878302967856,-0.02591671260889437,0.0,0.0,0.0
1785939484602465983,8.735170461561294,0.39999878302967856,-0.025916712608894367,0.0,0.0,0.0
1785939484650797842,8.735170461561294,0.39999878302967856,-0.025916712608894363,0.0,0.0,0.0
