t_ns,path_id
1785939482975496422,0
1785939483018771757,0
1785939483119523934,0
1785939483218422865,0
1785939483318706482,0
1785939483419288766,0
1785939483518374039,0
1785939483619848801,0
1785939483718451849,0
1785939483818407136,0
1785939483917797891,0
1785939484018061092,0
1785939484118768052,0
1785939484217486880,0
1785939484319501981,0
1785939484425236217,0
1785939484517511433,0
1785939484618415231,0
1785939484721531042,0
1785939484818331404,0
1785939484917177725,0
1785939485017937519,0
1785939485117865380,0
1785939485226451490,0
1785939485317461638,0
1785939485419072693,0
1785939485518382678,0
1785939485622159791,0
1785939485720040638,0
1785939485817175988,0
1785939485917644764,0
1785939486018379533,0
1785939486117374947,0
1785939486217014831,0
1785939486319737635,0
1785939486418520114,0
1785939486517780433,0
1785939486618841869,0
1785939486718526714,0
1785939486832068832,1
1785939486919527564,1
1785939487017144562,1
1785939487117921157,1
1785939487218096035,1
1785939487318739185,1
1785939487420267261,1
1785939487517285391,1
1785939487617622738,1
1785939487719980539,1
1785939487829794018,1
1785939487918272976,1
1785939488017853274,1
1785939488118158172,1
1785939488217958446,1
1785939488318785282,1
1785939488425231094,1
1785939488516817134,1
1785939488617419611,1
1785939488719436664,1
1785939488832641747,1
1785939488921317352,1
1785939489019079475,1
1785939489118241903,1
1785939489217884698,1
1785939489317646122,1
1785939489418904813,1
1785939489519193103,1
1785939489617343240,1
1785939489717154873,1
1785939489831855271,1
1785939489919397334,1
1785939490017940060,1
1785939490118395811,1
1785939490217514941,1
1785939490317392145,1
1785939490420295660,1
1785939490526391156,1
1785939490619826732,1
1785939490718625947,1
1785939490831225441,1
1785939490917251164,1
1785939491020355550,1
1785939491118138058,1
1785939491217482795,1
1785939491317725836,1
1785939491417255699,1
1785939491517476595,1
1785939491621485172,1
1785939491721535149,1
1785939491829102824,1
1785939491917714587,1
1785939492018777495,1
1785939492118076119,1
1785939492219453502,1
1785939492322390906,1
1785939492418933820,1
1785939492517225562,1
1785939492617592286,1
1785939492721597855,1
1785939492832968379,1
1785939492917984787,1
1785939493019729159,1
1785939493118085223,1
1785939493217091005,1
1785939493317987987,1
1785939493418591392,1
1785939493518284109,1
1785939493619483086,1
1785939493718841296,1
1785939493833709540,1
1785939493918676698,1
1785939494018935771,1
1785939494117135254,1
1785939494218985805,1
1785939494320785346,1
1785939494417737778,1
1785939494518533349,1
1785939494620799243,1
1785939494718037444,1
1785939494828635142,1
1785939494923453261,1
1785939495019331128,1
1785939495117875134,1
1785939495217191551,1
1785939495325696377,1
1785939495421880175,1
1785939495517928512,1
1785939495617170558,1
1785939495718836751,1
1785939495840806549,1
1785939495917754394,1
1785939496020616371,1
1785939496119415042,1
1785939496217024873,1
1785939496317961409,1
1785939496419705908,1
1785939496517144308,1
1785939496619117008,1
1785939496717455055,1
1785939496828502208,1
1785939496917881421,1
1785939497024147675,1
1785939497117056609,1
1785939497218504523,1
1785939497319433986,1
1785939497417334194,1
1785939497518375950,1
1785939497622679641,1
1785939497719908082,1
1785939497819302549,1
1785939497920889316,1
1785939498023363440,1
1785939498122697745,1
1785939498217926726,1
1785939498321443254,1
1785939498417605451,1
1785939498519261884,1
1785939498625574603,1
1785939498717637108,1
1785939498819156224,1
1785939498919900785,1
1785939499018542843,1
