t_ns,steer_angle_cmd,steer_rate_cmd,vel_cmd,accel_cmd
1785939483010824285,0.0,0.4363323152065277,0.0,0.0
1785939483110231169,0.0,0.4363323152065277,0.0,0.0
1785939483209020207,0.0,0.4363323152065277,0.0,0.0
1785939483311041324,0.0,0.4363323152065277,0.0,0.0
1785939483416093969,0.0,0.4363323152065277,0.0,0.0
1785939483511445962,0.0,0.4363323152065277,0.0,0.0
1785939483609013711,0.0,0.4363323152065277,0.0,0.0
1785939483709661629,0.0,0.4363323152065277,0.0,0.0
1785939483813457175,0.0,0.4363323152065277,0.0,0.0
1785939483908746830,0.0,0.4363323152065277,0.0,0.0
1785939484010280570,0.0,0.4363323152065277,0.0,0.0
1785939484110224816,0.0,0.4363323152065277,0.0,0.0
1785939484209641428,0.0,0.4363323152065277,0.0,0.0
1785939484308991286,0.0,0.4363323152065277,0.0,0.0
1785939484421370068,0.0,0.4363323152065277,0.0,0.0
1785939484511202129,0.0,0.4363323152065277,0.0,0.0
1785939484610581140,0.0,0.4363323152065277,0.0,0.0
1785939484709279135,0.0,0.4363323152065277,0.0,0.0
1785939484809493054,0.0,0.4363323152065277,0.0,0.0
1785939484911937450,0.0,0.4363323152065277,0.0,0.0
1785939485010070850,0.0,0.4363323152065277,0.0,0.0
1785939485127904571,0.0,0.4363323152065277,0.0,0.0
1785939485213858067,0.0,0.4363323152065277,0.0,0.0
1785939485310640221,0.0,0.4363323152065277,0.0,0.0
1785939485412138920,0.0,0.4363323152065277,0.0,0.0
1785939485508665322,0.0,0.4363323152065277,0.0,0.0
1785939485611008882,0.0,0.4363323152065277,0.0,0.0
1785939485710333075,0.0,0.4363323152065277,0.0,0.0
1785939485809317384,0.0,0.4363323152065277,0.0,0.0
1785939485909062871,0.0,0.4363323152065277,0.0,0.0
1785939486009442428,0.0,0.4363323152065277,0.0,0.0
1785939486115373759,0.0,0.4363323152065277,0.0,0.0
1785939486215456473,0.0,0.4363323152065277,0.0,0.0
1785939486309609162,0.0,0.4363323152065277,0.0,0.0
1785939486411484578,0.0,0.4363323152065277,0.0,0.0
1785939486509700605,0.0,0.4363323152065277,0.0,0.0
1785939486610161956,0.0,0.4363323152065277,0.0,0.0
1785939486711144542,0.0,0.4363323152065277,0.0,0.0
1785939486810076209,0.0,0.4363323152065277,0.0,0.0
1785939486912629440,0.03468843549489975,0.3468843698501587,0.6000000238418579,2.0
1785939487025990433,0.06922344863414764,0.34535008668899536,0.6000000238418579,2.0
1785939487114933503,0.09835832566022873,0.29134878516197205,0.6000000238418579,2.0
