direction,seed,completion_safe,cte_safe,hitch_safe,n_safe,completion_fair,cte_fair,hitch_fair,n_fair
forward,0,1.0,0.46731558577370924,0.20252651452513723,1536,1.0,0.47721076770388327,0.20556238126785806,1536
forward,1,1.0,0.47211977320697107,0.2530724677005007,1536,0.9980506822612085,0.4911007515886912,0.2703269574357907,1539
forward,2,1.0,0.6840045790779916,0.15865806275299596,1536,1.0,0.6873253913099244,0.16756971497670747,1536
reverse,0,0.8779644268774703,1.4333246411226015,0.2318079204523104,2024,0.8566602316602316,1.4673894601274384,0.24024005046538635,2072
reverse,1,0.9593147751605996,0.878139224245775,0.13738634715472972,1868,0.9506631299734748,0.9212839954112405,0.14413966033508907,1885
reverse,2,0.6561580496006726,1.5802469363602818,0.5495932850197502,2379,0.6594233180108651,1.6019889854767775,0.5357822970262617,2393
