algo,direction,reward,n_seeds,completion_safe_mean,completion_safe_ci95,completion_fair_mean,completion_fair_ci95,completion_delta,trailer_cte_safe_mean,trailer_cte_safe_ci95,trailer_cte_fair_mean,trailer_cte_fair_ci95,trailer_cte_delta,max_hitch_safe_mean,max_hitch_safe_ci95,max_hitch_fair_mean,max_hitch_fair_ci95,max_hitch_delta,jackknife_safe_mean,jackknife_safe_ci95,jackknife_fair_mean,jackknife_fair_ci95,jackknife_delta
dqn,forward,dense,3,1.0,0.0,1.0,0.0,0.0,0.24417717492849325,0.05712559848517897,0.26397055090644655,0.06804623412935766,0.019793375977953304,0.09156767925540205,0.006732677503922313,0.10029822645285295,0.005580186158208511,0.008730547197450908,0.0,0.0,0.0,0.0,0.0
dqn,forward,guided,3,0.6006091154013316,0.5801920140693078,0.6060771853961223,0.5913623793442846,0.00546806999479077,1.0066099395598613,1.2355448492468035,0.9930136013474544,1.2279025776924601,-0.013596338212406911,0.2337198074466044,0.1417483046845731,0.23312879748687196,0.1411491414033102,-0.0005910099597324359,0.0,0.0,0.0,0.0,0.0
dqn,forward,multiplicative,3,0.8527696258330068,0.14961008780189913,0.8499984104828017,0.1520329426860225,-0.0027712153502050807,0.5853105586871136,0.0903937976504827,0.5823156918896194,0.09414842687230233,-0.0029948667974941667,0.1679290346407467,0.04598309885242565,0.17034295934425678,0.041824547356359515,0.0024139247035100675,0.0,0.0,0.0,0.0,0.0
dqn,forward,tractor_focus,3,1.0,0.0,1.0,0.0,0.0,0.24724613228828443,0.010154777288877346,0.259252823696378,0.019407934772926363,0.012006691408093545,0.09643532963329765,0.002648959057120728,0.1007879947964183,0.0023960579321626015,0.0043526651631206476,0.0,0.0,0.0,0.0,0.0
dqn,reverse,dense,3,0.1722547187629986,0.33582392256341026,0.16857411326937286,0.3281955575977248,-0.003680605493625755,1.4585929330366827,0.8772614575321972,1.4849317592811524,0.9093664651537049,0.026338826244469704,0.46227048500494233,0.487911379538911,0.46214512867399565,0.4917188312729928,-0.00012535633094667986,0.009952536481014592,0.013841328319015469,0.012065460146724256,0.020347268764881958,0.0021129236657096637
dqn,reverse,guided,3,0.4947755087765187,0.5573088447562464,0.487134310060668,0.5507445436166604,-0.007641198715850728,1.269189371367433,0.49950253518917986,1.3081009843247822,0.4820649854020126,0.03891161295734924,0.2875473140293769,0.08388548133783881,0.29158296263427824,0.07965539617144683,0.004035648604901354,0.00034223134839151266,0.000670773442847365,0.0007874901563730453,0.001543480706491169,0.00044525880798153267
dqn,reverse,multiplicative,3,0.0004663868345659271,0.0009141181957492172,0.0,0.0,-0.0004663868345659271,1.1078355757766962,0.6203839535263983,1.1426114601958774,0.626454190133705,0.034775884419181224,0.86448397990391,0.1748908931207404,0.8636863005765484,0.18077857796779992,-0.0007976793273616334,0.0,0.0,0.0,0.0,0.0
dqn,reverse,no_hitch,3,0.023351982486013136,0.04576988567258574,0.01404707668944571,0.027532270311313594,-0.009304905796567427,1.2679844225530423,1.0714925188207534,1.303884108387941,1.0909368291991546,0.035899685834898776,0.7788040431809214,0.35128217618486945,0.7862059258902668,0.3404859470662161,0.0074018827093453865,0.026595313386848295,0.05212681423822266,0.02665148063781321,0.052236902050113894,5.6167250964914844e-05
ppo,forward,dense,3,1.0,0.0,1.0,0.0,0.0,0.19038507557639406,0.013397934435561015,0.19411356761110765,0.014120466196650475,0.003728492034713593,0.09801820188557837,0.001980813525972845,0.09954753790124314,0.0017250319795603442,0.0015293360156647673,0.0,0.0,0.0,0.0,0.0
ppo,forward,guided,3,1.0,0.0,1.0,0.0,0.0,0.1971758343966212,0.01797776739576925,0.1995755494211059,0.020020618773405816,0.0023997150244846888,0.11226279942012397,0.009267113131026164,0.11377738560076978,0.013378898802459354,0.0015145861806458022,0.0,0.0,0.0,0.0,0.0
ppo,forward,multiplicative,3,1.0,0.0,1.0,0.0,0.0,0.17174747501822893,0.013368950587577998,0.1762051590740692,0.017599428815280874,0.004457684055840266,0.09338739257044733,0.002322411357942141,0.09685919239038615,0.004251851360919527,0.003471799819938823,0.0,0.0,0.0,0.0,0.0
ppo,forward,tractor_focus,3,1.0,0.0,1.0,0.0,0.0,0.21227813636479234,0.007652822842887945,0.2153391599144051,0.008904945867183569,0.003061023549612768,0.10927536938147063,0.0029325874674943223,0.11199983733745789,0.005357760162163347,0.002724467955987256,0.0,0.0,0.0,0.0,0.0
ppo,reverse,dense,3,0.16613193517896124,0.3226329380582428,0.16071518786450914,0.3141365942599087,-0.005416747314452103,1.5748865299138959,0.3267559304065231,1.5901412273725277,0.31050982574924035,0.015254697458631838,0.5936132134884428,0.28757046359751787,0.5918102777263338,0.2844020975537466,-0.0018029357621089925,0.0,0.0,0.0,0.0,0.0
ppo,reverse,guided,3,0.835338560553511,0.24356932550531563,0.8202928743326048,0.24603855278014247,-0.015045686220906185,1.296502134133061,0.27704225421756135,1.3370713679783288,0.2874336006985106,0.040569233845267894,0.1897786957161215,0.07185279804286507,0.19488969380407029,0.07748754134646797,0.005110998087948793,0.0,0.0,0.0,0.0,0.0
ppo,reverse,multiplicative,3,0.4912083789886941,0.008132455006575534,0.4821663265610086,0.008001344220850653,-0.00904205242768552,1.3353838358651113,0.12569725689749234,1.3587776818550348,0.13381873850879075,0.023393845989923445,0.656530190814133,0.19631194802720578,0.6592660023282361,0.20123736410445428,0.0027358115141030703,0.005626363531978412,0.011027672522677688,0.00903954802259887,0.017717514124293784,0.003413184490620458
ppo,reverse,no_hitch,3,0.1592994644800849,0.31153364792179256,0.16367663344407532,0.32080620155038764,0.00437716896399043,1.3698121824858551,0.4875060732925383,1.376858795854863,0.4662818701813292,0.007046613369007915,0.747588014697898,0.3187771425118575,0.7423998575576157,0.32169875534469966,-0.005188157140282312,0.00034858387799564274,0.0006832244008714598,0.0,0.0,-0.00034858387799564274
ppo_disc,forward,dense,3,0.8272827282728272,0.33852585258525847,0.8334726867335563,0.32639353400222965,0.006189958460729117,0.6136714631722615,0.3355294912673368,0.6165727412043936,0.3343580532327928,0.0029012780321321374,0.15770179175817775,0.08044770272435199,0.1616147322205089,0.08286480085249696,0.003912940462331149,0.0,0.0,0.0,0.0,0.0
ppo_disc,forward,guided,3,0.5119283716504291,0.010788941424453437,0.4903296010772804,0.015214665038915214,-0.02159877057314874,0.4715030739657,0.01875825175860845,0.4709141940193879,0.02575019564975383,-0.0005888799463121264,0.24193285871798995,0.04309289845276264,0.23361100926336853,0.02941770382664843,-0.008321849454621416,0.0,0.0,0.0,0.0,0.0
ppo_disc,forward,multiplicative,3,1.0,0.0,1.0,0.0,0.0,0.2198353237164182,0.01959583582171886,0.22741975503607412,0.014335353983224813,0.0075844313196559154,0.10488532487377394,0.0024855883645788115,0.11296535371467244,0.005543636160531944,0.008080028840898493,0.0,0.0,0.0,0.0,0.0
ppo_disc,forward,tractor_focus,3,0.912115873947935,0.17225288706204736,0.9072145061728395,0.1818595679012346,-0.004901367775095533,0.3710289234673924,0.12847645480026781,0.38018414566361375,0.14507158386747565,0.009155222196221335,0.14846985556847267,0.06489661862797969,0.1501030008560598,0.07391143823820938,0.0016331452875871233,0.0,0.0,0.0,0.0,0.0
