t_ns,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31
1785938877910962647,-0.0,-0.021670890972018242,-0.09577175229787827,-0.05694595351815224,0.15941889584064484,-0.035521529614925385,0.0038965013809502125,0.0024354648776352406,0.08500000089406967,0.09000000357627869,0.09749999642372131,0.10499999672174454,0.11249999701976776,0.1274999976158142,0.14749999344348907,0.17000000178813934,0.2175000011920929,0.28999999165534973,0.42250001430511475,0.6274999976158142,0.6274999976158142,0.6324999928474426,0.47749999165534973,0.3050000071525574,0.23250000178813934,0.19499999284744263,0.16750000417232513,0.14749999344348907,0.12999999523162842,0.11999999731779099,0.11249999701976776,0.10249999910593033
1785938878011883278,-0.0,-0.023232443258166313,-0.09577175229787827,-0.05694595351815224,0.15870220959186554,-0.03395997732877731,0.0038965013809502125,0.0024354648776352406,0.08500000089406967,0.09000000357627869,0.09749999642372131,0.10499999672174454,0.11249999701976776,0.1274999976158142,0.14749999344348907,0.17000000178813934,0.2175000011920929,0.28999999165534973,0.42250001430511475,0.6274999976158142,0.6274999976158142,0.6324999928474426,0.47749999165534973,0.3050000071525574,0.23250000178813934,0.19499999284744263,0.16750000417232513,0.14749999344348907,0.12999999523162842,0.11999999731779099,0.11249999701976776,0.10249999910593033
1785938878111186958,-0.0,-0.023593217134475708,-0.09579487890005112,-0.05692964419722557,0.15870420634746552,-0.0335828959941864,0.0038916016928851604,0.0024404909927397966,0.08500000089406967,0.09000000357627869,0.09749999642372131,0.10499999672174454,0.11249999701976776,0.1274999976158142,0.14749999344348907,0.17000000178813934,0.2175000011920929,0.28999999165534973,0.42250001430511475,0.6274999976158142,0.6274999976158142,0.6324999928474426,0.47749999165534973,0.3050000071525574,0.23250000178813934,0.19499999284744263,0.16750000417232513,0.14749999344348907,0.12999999523162842,0.11999999731779099,0.11249999701976776,0.10249999910593033
1785938878211383821,-0.0,-0.023593217134475708,-0.09581445902585983,-0.05691945180296898,0.15883441269397736,-0.03357066586613655,0.003896224545314908,0.0024360704701393843,0.08500000089406967,0.09000000357627869,0.09749999642372131,0.10499999672174454,0.11249999701976776,0.1274999976158142,0.14749999344348907,0.17000000178813934,0.2175000011920929,0.28999999165534973,0.42250001430511475,0.6274999976158142,0.6274999976158142,0.6324999928474426,0.47749999165534973,0.3050000071525574,0.23250000178813934,0.19499999284744263,0.16750000417232513,0.14749999344348907,0.12999999523162842,0.11999999731779099,0.11249999701976776,0.10249999910593033
1785938878311730545,-0.0,-0.024223124608397484,-0.09584731608629227,-0.056870412081480026,0.15876533091068268,-0.03289364278316498,0.003887433558702469,0.002440486568957567,0.08500000089406967,0.09000000357627869,0.09749999642372131,0.10499999672174454,0.11249999701976776,0.1274999976158142,0.14749999344348907,0.17000000178813934,0.2175000011920929,0.28999999165534973,0.42250001430511475,0.6274999976158142,0.6274999976158142,0.6324999928474426,0.47749999165534973,0.3050000071525574,0.23250000178813934,0.19499999284744263,0.16750000417232513,0.14749999344348907,0.12999999523162842,0.11999999731779099,0.11249999701976776,0.10249999910593033
1785938878411358460,-0.0,-0.022844400256872177,-0.09587471187114716,-0.0568397156894207,0.15946152806282043,-0.034243833273649216,0.0038958878722041845,0.002440494252368808,0.08500000089406967,0.09000000357627869,0.09749999642372131,0.10499999672174454,0.11249999701976776,0.1274999976158142,0.14749999344348907,0.17000000178813934,0.2175000011920929,0.28999999165534973,0.42250001430511475,0.6274999976158142,0.6274999976158142,0.6324999928474426,0.47749999165534973,0.3050000071525574,0.23250000178813934,0.19499999284744263,0.16750000417232513,0.14749999344348907,0.12999999523162842,0.11999999731779099,0.11249999701976776,0.10249999910593033
1785938878511441175,-0.0,-0.022844400256872177,-0.09587471187114716,-0.0568397156894207,0.15946152806282043,-0.034243833273649216,0.0038958878722041845,0.002440494252368808,0.08500000089406967,0.09000000357627869,0.09749999642372131,0.10499999672174454,0.11249999701976776,0.1274999976158142,0.14749999344348907,0.17000000178813934,0.2175000011920929,0.28999999165534973,0.42250001430511475,0.6274999976158142,0.6274999976158142,0.6324999928474426,0.47749999165534973,0.3050000071525574,0.23250000178813934,0.19499999284744263,0.16750000417232513,0.14749999344348907,0.12999999523162842,0.11999999731779099,0.11249999701976776,0.10249999910593033
1785938878610243334,-0.0,-0.023167569190263748,-0.0959591194987297,-0.05682125315070152,0.1598132848739624,-0.03390016779303551,0.0038917555939406157,0.0024354581255465746,0.08500000089406967,0.09000000357627869,0.09749999642372131,0.10499999672174454,0.11249999701976776,0.1274999976158142,0.14749999344348907,0.17000000178813934,0.2175000011920929,0.28999999165534973,0.42250001430511475,0.6274999976158142,0.6274999976158142,0.6324999928474426,0.47749999165534973,0.3050000071525574,0.23250000178813934,0.19499999284744263,0.16750000417232513,0.14749999344348907,0.12999999523162842,0.11999999731779099,0.11249999701976776,0.10249999910593033
1785938878711712656,-0.0,-0.02425871603190899,-0.0959591194987297,-0.05682125315070152,0.15939363837242126,-0.03280901908874512,0.0038917555939406157,0.0024354581255465746,0.08500000089406967,0.09000000357627869,0.09749999642372131,0.10499999672174454,0.11249999701976776,0.1274999976158142,0.14749999344348907,0.17000000178813934,0.2175000011920929,0.28999999165534973,0.42250001430511475,0.6274999976158142,0.6274999976158142,0.6324999928474426,0.47749999165534973,0.3050000071525574,0.23250000178813934,0.19499999284744263,0.16750000417232513,0.14749999344348907,0.12999999523162842,0.11999999731779099,0.11249999701976776,0.10249999910593033
1785938878810245974,-0.0,-0.022682514041662216,-0.09604518115520477,-0.05666790157556534,0.160209059715271,-0.034233931452035904,0.0038962189573794603,0.002440479351207614,0.08500000089406967,0.09000000357627869,0.09749999642372131,0.10499999672174454,0.11249999701976776,0.1274999976158142,0.14749999344348907,0.17000000178813934,0.2175000011920929,0.28999999165534973,0.42250001430511475,0.6274999976158142,0.6274999976158142,0.6324999928474426,0.47749999165534973,0.3050000071525574,0.23250000178813934,0.19499999284744263,0.16750000417232513,0.14749999344348907,0.12999999523162842,0.11999999731779099,0.11249999701976776,0.10249999910593033
