t_ns,hitch_angle,hitch_rate
1785938877802661731,0.021670890972018242,0.0
1785938877967047090,0.023232443258166313,0.0
1785938878094623320,0.023593217134475708,0.0
1785938878242538453,0.024223124608397484,0.0
1785938878367862062,0.022844400256872177,0.0
1785938878520690995,0.023167569190263748,0.0
1785938878671557236,0.02425871603190899,0.0
1785938878797271546,0.022682514041662216,0.0
1785938878945967346,0.024599714204669,0.0
1785938879074015144,0.025382954627275467,0.0
1785938879220703002,0.024992650374770164,0.0
1785938879374018416,0.02398665063083172,0.0
1785938879505384663,0.022522827610373497,0.0
1785938879655202773,0.0249323733150959,0.0
1785938879784707485,0.02402345836162567,0.0
1785938879932198795,0.02209688350558281,0.0
1785938880094327757,0.0240181852132082,0.0
1785938880225961437,0.022728944197297096,0.0
1785938880375577300,0.021724943071603775,0.0
1785938880505286915,0.022473804652690887,0.0
1785938880668840342,0.0253335852175951,0.0
1785938880874842643,0.024559535086154938,0.0
1785938881005086004,0.0231160931289196,0.0
1785938881153684392,0.023279545828700066,0.0
1785938881283640543,0.022136861458420753,0.0
1785938881440355496,0.024691088125109673,0.0
1785938881596107441,0.02348851040005684,0.0
1785938881732419809,0.02361988089978695,0.0
1785938881881885683,0.025076596066355705,0.0
1785938882013577957,0.022583218291401863,0.0
1785938882160515201,0.02554413303732872,0.0
1785938882310023764,0.0225046519190073,0.0
1785938882438442326,0.01588146574795246,0.0
1785938882589853643,0.007882768288254738,0.0
1785938882718805855,-0.002219119807705283,0.0
1785938882865173127,-0.031976133584976196,0.0
1785938883021520004,-0.04747295752167702,0.0
1785938883152128978,-0.07451555132865906,0.0
1785938883301552322,-0.08450300246477127,0.0
1785938883429613880,-0.09521127492189407,0.0
1785938883578207500,-0.09268054366111755,0.0
1785938883730082384,-0.08838474005460739,0.0
1785938883858297036,-0.06704629212617874,0.0
1785938884010808901,-0.05267298221588135,0.0
1785938884133225883,-0.021178409457206726,0.0
1785938884277970636,-0.00824302900582552,0.0
1785938884427159956,0.006374483462423086,0.0
1785938884553732567,0.020390573889017105,0.0
1785938884703889761,0.027662063017487526,0.0
1785938884832048282,0.039223022758960724,0.0
1785938884979442597,0.036054741591215134,0.0
1785938885132740058,0.03199036419391632,0.0
1785938885261737968,0.020566608756780624,0.0
1785938885411078814,0.014062866568565369,0.0
1785938885540541508,3.0232497010729276e-05,0.0
1785938885688023570,-0.013231701217591763,0.0
1785938885841543502,-0.014519261196255684,0.0
1785938885968261527,-0.01979280263185501,0.0
1785938886113785954,-0.02511788345873356,0.0
1785938886240124894,-0.0207835603505373,0.0
1785938886384794571,-0.015974897891283035,0.0
1785938886534734893,-0.002052874770015478,0.0
1785938886662229104,0.019241278991103172,0.0
1785938886810500569,0.03389911726117134,0.0
1785938886937331110,0.06057948246598244,0.0
1785938887081625863,0.06889010965824127,0.0
1785938887233346341,0.07969243824481964,0.0
1785938887358308786,0.09000924974679947,0.0
1785938887503951585,0.08568013459444046,0.0
1785938887630929267,0.07335756719112396,0.0
1785938887776352058,0.061184488236904144,0.0
1785938887925249592,0.04891856014728546,0.0
1785938888053076583,0.03299839794635773,0.0
1785938888201684571,0.023464396595954895,0.0
1785938888329646382,0.007804321590811014,0.0
1785938888473265912,0.005229513626545668,0.0
1785938888622614342,0.0033232811838388443,0.0
1785938888747303337,0.015750020742416382,0.0
1785938888894552495,0.02100764587521553,0.0
1785938889021075761,0.027774367481470108,0.0
1785938889168699620,0.04433151334524155,0.0
1785938889316603904,0.0471445769071579,0.0
1785938889443687445,0.055168673396110535,0.0
1785938889591791480,0.05062706023454666,0.0
1785938889717498814,0.04686906561255455,0.0
1785938889864237331,0.03599672392010689,0.0
1785938890017332289,0.029667964205145836,0.0
1785938890148746378,0.014316858723759651,0.0
1785938890295190036,0.01366763561964035,0.0
1785938890422367948,0.004951045848429203,0.0
1785938890564861584,0.0028788005001842976,0.0
1785938890712171384,0.0019394962582737207,0.0
1785938890840805410,0.0035112525802105665,0.0
1785938890986436305,0.003297727555036545,0.0
1785938891110048431,0.003352388273924589,0.0
1785938891253941762,-0.005245165899395943,0.0
1785938891399677365,-0.010855752043426037,0.0
1785938891525269367,-0.017697401344776154,0.0
1785938891672712003,-0.027655739337205887,0.0
1785938891799405035,-0.036220815032720566,0.0
1785938891946713235,-0.040797989815473557,0.0
1785938892099543224,-0.04070468246936798,0.0
1785938892230419534,-0.03317907825112343,0.0
1785938892382572668,-0.03228092938661575,0.0
1785938892510710901,-0.029743678867816925,0.0
1785938892661451634,-0.01495005190372467,0.0
1785938892815151252,-0.005009698681533337,0.0
1785938892952812115,-0.003272884525358677,0.0
1785938893128114295,0.006967704277485609,0.0
1785938893287236434,0.011399694718420506,0.0
1785938893445808603,0.012790230102837086,0.0
1785938893595702843,0.011507724411785603,0.0
1785938893723554827,0.010505907237529755,0.0
1785938893875080707,0.009798435494303703,0.0
1785938894005958682,0.0055883340537548065,0.0
1785938894156292553,0.0011604342143982649,0.0
1785938894307598809,0.0004959322977811098,0.0
1785938894435989883,-0.005429357755929232,0.0
1785938894587457137,-0.007032876368612051,0.0
1785938894715105658,-0.007935276255011559,0.0
1785938894872091756,-0.0077848127111792564,0.0
1785938895074445548,-0.007547290995717049,0.0
1785938895208773529,-0.0020063994452357292,0.0
1785938895361061835,0.0011509443866088986,0.0
1785938895488001499,0.0034304361324757338,0.0
1785938895642697503,0.0066705066710710526,0.0
1785938895801175525,0.01102884579449892,0.0
1785938895929293341,0.015031884424388409,0.0
1785938896081192546,0.016990507021546364,0.0
1785938896211805936,0.016261527314782143,0.0
1785938896363277542,0.012703998945653439,0.0
1785938896548945964,0.010979070328176022,0.0
1785938896679327570,0.011626274324953556,0.0
1785938896899076357,0.012343174777925014,0.0
1785938897035797187,0.008739400655031204,0.0
1785938897186521824,0.005508646834641695,0.0
1785938897336616551,0.0029239302966743708,0.0
1785938897468761513,0.0013814512640237808,0.0
1785938897619466469,0.005210101138800383,0.0
1785938897747851046,0.0022260036785155535,0.0
1785938897895422359,0.0004254067607689649,0.0
1785938898051454473,-0.004824687261134386,0.0
1785938898178140113,0.003965574316680431,0.0
1785938898327318136,-0.00011308125976938754,0.0
1785938898453194084,0.005821304861456156,0.0
1785938898599586797,0.006420316640287638,0.0
1785938898748415529,0.011050304397940636,0.0
1785938898874806566,0.01479718554764986,0.0
1785938899022992332,0.014187738299369812,0.0
1785938899150432686,0.016538415104150772,0.0
1785938899297043614,0.018690964207053185,0.0
1785938899448233610,0.019539665430784225,0.0
1785938899574725675,0.024515563622117043,0.0
1785938899722608359,0.02592569589614868,0.0
1785938899847361740,0.02667420357465744,0.0
1785938899991951383,0.025900626555085182,0.0
1785938900140308387,0.026710093021392822,0.0
1785938900268830569,0.026698123663663864,0.0
1785938900416549343,0.02385207638144493,0.0
1785938900541320261,0.026209156960248947,0.0
1785938900685995571,0.02481919899582863,0.0
1785938900836137564,0.022231871262192726,0.0
1785938900962313234,0.021681644022464752,0.0
1785938901121586899,0.02095852792263031,0.0
1785938901250286335,0.025414414703845978,0.0
1785938901402675157,0.026261718943715096,0.0
1785938901549165761,0.029376918449997902,0.0
1785938901676606498,0.03613287955522537,0.0
1785938901831535822,0.03421957418322563,0.0
1785938901953236556,0.027443723753094673,0.0
1785938902095276160,0.025624457746744156,0.0
1785938902254678213,0.02005474641919136,0.0
1785938902389216504,0.010958454571664333,0.0
1785938902549827495,0.008054242469370365,0.0
1785938902702573960,0.0013411161489784718,0.0
1785938902869961342,-0.0015502553433179855,0.0
1785938903046585296,-0.004199292045086622,0.0
1785938903198762718,-0.009383076801896095,0.0
1785938903422382837,-0.005635228473693132,0.0
1785938903578518762,-0.01407456211745739,0.0
1785938903744424365,-0.021694857627153397,0.0
1785938903897951722,-0.03914041817188263,0.0
1785938904024333927,-0.050153691321611404,0.0
1785938904173321960,-0.06378123164176941,0.0
1785938904310570137,-0.07213976979255676,0.0
1785938904483016443,-0.08036621659994125,0.0
1785938904627784620,-0.08377048373222351,0.0
