t_ns,reverse
1785946192300712869,0
1785946192337628618,0
1785946192441308607,0
1785946192538575704,0
1785946192637670820,0
1785946192738230812,0
1785946192838150780,0
1785946192938566318,0
1785946193040893316,0
1785946193138339949,0
1785946193237985412,0
1785946193338676352,0
1785946193438024460,0
1785946193537738245,0
1785946193638518468,0
1785946193739558956,0
1785946193838507403,0
1785946193938354185,0
1785946194039341039,0
1785946194137641590,0
1785946194239002698,0
1785946194337570554,0
1785946194449654184,0
1785946194537296504,0
1785946194638131576,0
1785946194739976413,0
1785946194837701424,0
1785946194939500115,0
1785946195038011394,0
1785946195139941801,0
1785946195238304339,0
1785946195349128148,0
1785946195443778714,0
1785946195539910486,0
1785946195637576711,0
1785946195740039297,0
1785946195838355433,0
1785946195938647095,0
1785946196038242668,0
1785946196138804163,0
1785946196239993488,0
1785946196358672230,1
1785946196449914516,1
1785946196542332813,1
1785946196643698240,1
1785946196743744357,1
1785946196842168017,1
1785946196944918453,1
1785946197057205386,1
1785946197156576247,1
1785946197244912479,1
1785946197349167993,1
1785946197446247317,1
1785946197543099882,1
1785946197648756660,1
1785946197753253238,1
1785946197851179984,1
1785946197942254297,1
1785946198044047708,1
1785946198155125382,1
1785946198243558737,1
1785946198342328266,1
1785946198446694727,1
1785946198544584448,1
1785946198648838681,1
1785946198750554777,1
1785946198844256926,1
1785946198945543791,1
1785946199044606577,1
1785946199157166479,1
1785946199242996832,1
1785946199344889574,1
1785946199443849444,1
1785946199543827015,1
1785946199646964953,1
1785946199744717037,1
1785946199846789881,1
1785946199944923771,1
1785946200043916891,1
1785946200155280239,1
1785946200243538068,1
1785946200344375701,1
1785946200442643516,1
1785946200557862039,1
1785946200644211194,1
1785946200745520395,1
1785946200843547881,1
1785946200950599525,1
1785946201043152642,1
1785946201161060668,1
1785946201243427954,1
1785946201347103511,1
1785946201443842696,1
1785946201543014062,1
1785946201644667532,1
1785946201745477260,1
1785946201842379458,1
1785946201943862585,1
1785946202045010085,1
1785946202155976651,1
1785946202246442430,1
1785946202345003631,1
1785946202446657709,1
1785946202543252536,1
1785946202644168572,1
1785946202748169580,1
1785946202853388840,1
1785946202944513490,1
1785946203044394129,1
1785946203157562277,1
1785946203246277274,1
1785946203345795661,1
1785946203442774630,1
1785946203543677417,1
1785946203643037782,1
1785946203746230122,1
