t_ns,steering_tire_angle
1785946192300659203,0.0
1785946192300729766,0.0
1785946192300740358,0.0
1785946192300749383,0.0
1785946192318495738,0.0
1785946192339140877,0.0
1785946192357793000,0.0
1785946192377905572,0.0
1785946192397955773,0.0
1785946192418347717,0.0
1785946192441251228,0.0
1785946192458218829,0.0
1785946192477846163,0.0
1785946192498058035,0.0
1785946192518258035,0.0
1785946192541725219,0.0
1785946192559920074,0.0
1785946192579894481,0.0
1785946192598232535,0.0
1785946192617984335,0.0
1785946192638353917,0.0
1785946192661063389,0.0
1785946192677886189,0.0
1785946192698773549,0.0
1785946192718335839,0.0
1785946192739661198,0.0
1785946192758544487,0.0
1785946192777955315,0.0
1785946192798225309,0.0
1785946192818515336,0.0
1785946192841296523,0.0
1785946192859889818,0.0
1785946192879603121,0.0
1785946192897776689,0.0
1785946192918841559,0.0
1785946192941032421,0.0
1785946192960858368,0.0
1785946192979752857,0.0
1785946193002321396,0.0
1785946193018387083,0.0
1785946193038263751,0.0
1785946193058752569,0.0
1785946193077963550,0.0
1785946193098093635,0.0
1785946193118545300,0.0
1785946193139608282,0.0
1785946193157689271,0.0
1785946193180824390,0.0
1785946193198366992,0.0
1785946193218280814,0.0
1785946193239048361,0.0
1785946193259244977,0.0
1785946193277827744,0.0
1785946193306850686,0.0
1785946193317964678,0.0
1785946193339341719,0.0
1785946193358564956,0.0
1785946193377924774,0.0
1785946193398531837,0.0
1785946193418224114,0.0
1785946193441666412,0.0
1785946193459376060,0.0
1785946193479408830,0.0
1785946193498410876,0.0
1785946193518287384,0.0
1785946193538924623,0.0
1785946193558230679,0.0
1785946193577999376,0.0
1785946193601080893,0.0
1785946193617896398,0.0
1785946193637885198,0.0
1785946193657804300,0.0
1785946193678729229,0.0
1785946193697339261,0.0
1785946193722297484,0.0
1785946193739482794,0.0
1785946193758670670,0.0
1785946193778222878,0.0
1785946193798336259,0.0
1785946193817882964,0.0
1785946193841899426,0.0
1785946193865138645,0.0
1785946193879385675,0.0
1785946193898003995,0.0
1785946193920151175,0.0
1785946193938677268,0.0
1785946193959292298,0.0
1785946193977837592,0.0
1785946194001847526,0.0
1785946194018968257,0.0
1785946194043231640,0.0
1785946194058016833,0.0
1785946194077961855,0.0
1785946194099345329,0.0
1785946194118316589,0.0
1785946194139194157,0.0
1785946194158380401,0.0
1785946194180305237,0.0
1785946194198629627,0.0
1785946194218465430,0.0
1785946194239749540,0.0
1785946194257969350,0.0
1785946194277957926,0.0
1785946194297933446,0.0
1785946194319880587,0.0
1785946194338954795,0.0
1785946194358683426,0.0
1785946194378366552,0.0
1785946194398478684,0.0
1785946194425790527,0.0
1785946194439256505,0.0
1785946194458182644,0.0
1785946194481042074,0.0
1785946194498459359,0.0
1785946194519896306,0.0
1785946194538875055,0.0
1785946194561913563,0.0
1785946194578021906,0.0
1785946194603744989,0.0
1785946194619506024,0.0
1785946194639813748,0.0
1785946194658242365,0.0
1785946194677693610,0.0
1785946194698544041,0.0
1785946194718090906,0.0
1785946194738056217,0.0
1785946194758317443,0.0
1785946194777937750,0.0
1785946194798048123,0.0
1785946194818597231,0.0
1785946194838617104,0.0
1785946194858128416,0.0
1785946194878562064,0.0
1785946194898539184,0.0
1785946194918381067,0.0
1785946194942930988,0.0
1785946194969487507,0.0
1785946194977930557,0.0
1785946194998146821,0.0
1785946195021487451,0.0
1785946195047494416,0.0
1785946195058246603,0.0
1785946195077816284,0.0
1785946195100575806,0.0
1785946195119588412,0.0
1785946195139911560,0.0
1785946195159482522,0.0
1785946195178321457,0.0
1785946195198516793,0.0
1785946195218796067,0.0
1785946195238476313,0.0
1785946195258708674,0.0
1785946195278296468,0.0
1785946195298739268,0.0
1785946195318546078,0.0
1785946195339913679,0.0
1785946195358852522,0.0
1785946195377828423,0.0
1785946195398289528,0.0
1785946195435667549,0.0
1785946195447114992,0.0
1785946195459260924,0.0
1785946195478886543,0.0
1785946195499648075,0.0
1785946195518541733,0.0
1785946195538076565,0.0
1785946195558096150,0.0
1785946195578260509,0.0
1785946195598820721,0.0
1785946195617699562,0.0
1785946195637921971,0.0
1785946195658206398,0.0
1785946195678985498,0.0
1785946195698933561,0.0
1785946195718495946,0.0
1785946195738133182,0.0
1785946195759843003,0.0
1785946195777733489,0.0
1785946195802405366,0.0
1785946195820368367,0.0
1785946195838480909,0.0
1785946195861669662,0.0
1785946195878723095,0.0
1785946195898081537,0.0
1785946195919090790,0.0
1785946195939735485,0.0
1785946195958512498,0.0
1785946195977939487,0.0
1785946195998949411,0.0
1785946196018577495,0.0
1785946196039169772,0.0
1785946196063535303,0.0
1785946196080187858,0.0
1785946196099846278,0.0
1785946196118811874,0.0
1785946196140648132,0.0
1785946196158824676,0.0
1785946196177721022,0.0
1785946196198016137,0.0
1785946196217783298,0.0
1785946196237747905,0.0
1785946196257961449,0.0
1785946196277779235,0.0
1785946196298270645,0.0
1785946196319419199,0.0
1785946196337837896,0.0
1785946196367571999,0.0
1785946196377385529,0.0
1785946196398439551,0.0
1785946196418338044,0.0
1785946196440331587,0.0
1785946196458243994,0.0
1785946196477790091,0.0
1785946196498062837,0.0
1785946196527366781,0.0
