Kp,Kd,mean_cte,completion_rate
0.05,0.1,1.1798909139827818,0.0
0.05,0.3111111111111111,0.670306958429634,0.0
0.05,0.5222222222222223,0.4860182713828221,0.0
0.05,0.7333333333333333,0.39878400775376255,0.0
0.05,0.9444444444444444,0.3512927952725316,0.0
0.05,1.1555555555555557,0.34575162936036313,0.0
0.05,1.3666666666666667,0.31043690934971807,0.0
0.05,1.577777777777778,0.30188100291544934,0.0
0.05,1.788888888888889,0.3491785282812776,0.0
0.05,2.0,0.31798202315770585,0.0
0.15555555555555556,0.1,0.9378333123410422,0.0
0.15555555555555556,0.3111111111111111,0.7061373915831218,0.0
0.15555555555555556,0.5222222222222223,0.4542425408760944,0.0
0.15555555555555556,0.7333333333333333,0.49820824864737245,0.0
0.15555555555555556,0.9444444444444444,0.5136980520221106,0.0
0.15555555555555556,1.1555555555555557,0.41137842792607643,0.0
0.15555555555555556,1.3666666666666667,0.4053999028446356,0.0
0.15555555555555556,1.577777777777778,0.34817569887365946,0.0
0.15555555555555556,1.788888888888889,0.4118944546780636,0.0
0.15555555555555556,2.0,0.3016043696441533,0.0
0.2611111111111111,0.1,0.9138539818617337,0.0
0.2611111111111111,0.3111111111111111,0.9414225877056802,0.0
0.2611111111111111,0.5222222222222223,1.0553894553799958,0.0
0.2611111111111111,0.7333333333333333,0.5405084032307301,0.0
0.2611111111111111,0.9444444444444444,0.5395408889149033,0.0
0.2611111111111111,1.1555555555555557,0.47620851575420425,0.0
0.2611111111111111,1.3666666666666667,0.3735109427654824,0.0
0.2611111111111111,1.577777777777778,0.40553648964498196,0.0
0.2611111111111111,1.788888888888889,0.48758253632683574,0.0
0.2611111111111111,2.0,0.4120355903254842,0.0
0.36666666666666664,0.1,1.0603681517971844,0.0
0.36666666666666664,0.3111111111111111,0.9184502562025102,0.0
0.36666666666666664,0.5222222222222223,0.9756470045970866,0.0
0.36666666666666664,0.7333333333333333,1.0091125724398988,0.0
0.36666666666666664,0.9444444444444444,0.9482941750069621,0.0
0.36666666666666664,1.1555555555555557,0.5350999188343444,0.0
0.36666666666666664,1.3666666666666667,0.5223984519453708,0.0
0.36666666666666664,1.577777777777778,0.4431355544545709,0.0
0.36666666666666664,1.788888888888889,0.40075787914776023,0.0
0.36666666666666664,2.0,0.3761780013577924,0.0
0.4722222222222222,0.1,1.124391711418708,0.0
0.4722222222222222,0.3111111111111111,1.0673468905323897,0.0
0.4722222222222222,0.5222222222222223,0.9155126668150197,0.0
0.4722222222222222,0.7333333333333333,1.0202866917961495,0.0
0.4722222222222222,0.9444444444444444,0.9129887941276397,0.0
0.4722222222222222,1.1555555555555557,0.9347084835720807,0.0
0.4722222222222222,1.3666666666666667,0.9582414756523763,0.0
0.4722222222222222,1.577777777777778,0.5607390302241252,0.0
0.4722222222222222,1.788888888888889,0.47885903735969393,0.0
0.4722222222222222,2.0,0.4336218521131099,0.0
0.5777777777777778,0.1,0.9338028739787649,0.0
0.5777777777777778,0.3111111111111111,0.8851368428545987,0.0
0.5777777777777778,0.5222222222222223,1.13832236917271,0.0
0.5777777777777778,0.7333333333333333,1.08394767009662,0.0
0.5777777777777778,0.9444444444444444,0.9210402801298451,0.0
0.5777777777777778,1.1555555555555557,0.9948643765970867,0.0
0.5777777777777778,1.3666666666666667,1.1204730783647776,0.0
0.5777777777777778,1.577777777777778,0.8324888205953295,0.0
0.5777777777777778,1.788888888888889,0.8957274369131419,0.0
0.5777777777777778,2.0,0.8173332065985778,0.0
0.6833333333333333,0.1,1.0538650101383462,0.0
0.6833333333333333,0.3111111111111111,0.8972769002602363,0.0
0.6833333333333333,0.5222222222222223,0.8702457762571822,0.0
0.6833333333333333,0.7333333333333333,0.9676070422872797,0.0
0.6833333333333333,0.9444444444444444,0.8683715901663568,0.0
0.6833333333333333,1.1555555555555557,1.0989605084347536,0.0
0.6833333333333333,1.3666666666666667,1.170364859572836,0.0
0.6833333333333333,1.577777777777778,1.1436975051928118,0.0
0.6833333333333333,1.788888888888889,0.9667747147719972,0.0
0.6833333333333333,2.0,0.963642802753205,0.0
0.788888888888889,0.1,1.0921599988877049,0.0
0.788888888888889,0.3111111111111111,1.2688153458134457,0.0
0.788888888888889,0.5222222222222223,1.1253670531024655,0.0
0.788888888888889,0.7333333333333333,1.1478172906176651,0.0
0.788888888888889,0.9444444444444444,1.1227643067817452,0.0
0.788888888888889,1.1555555555555557,0.9697307395954505,0.0
0.788888888888889,1.3666666666666667,1.0676219015377073,0.0
0.788888888888889,1.577777777777778,1.2695406375476574,0.0
0.788888888888889,1.788888888888889,0.794110105211204,0.0
0.788888888888889,2.0,0.7616224584115282,0.0
0.8944444444444445,0.1,1.2024563675723237,0.0
0.8944444444444445,0.3111111111111111,0.9670311044648505,0.0
0.8944444444444445,0.5222222222222223,0.9823730758471365,0.0
0.8944444444444445,0.7333333333333333,1.102656532210253,0.0
0.8944444444444445,0.9444444444444444,0.9122062560590218,0.0
0.8944444444444445,1.1555555555555557,0.8455525676917973,0.0
0.8944444444444445,1.3666666666666667,1.2949013194671437,0.0
0.8944444444444445,1.577777777777778,1.1503384681797757,0.0
0.8944444444444445,1.788888888888889,0.880133182728518,0.0
0.8944444444444445,2.0,0.9524507236734134,0.0
1.0,0.1,0.7803508360371118,0.0
