k_y,k_theta,mean_cte,completion_rate
0.02,0.1,0.35431532572419705,0.0
0.02,0.3111111111111111,0.2868860218571449,0.0
0.02,0.5222222222222223,0.38401888827678116,0.0
0.02,0.7333333333333333,0.5093803929869126,0.0
0.02,0.9444444444444444,0.6025415788293772,0.0
0.02,1.1555555555555557,0.6457154241241104,0.0
0.02,1.3666666666666667,0.7691185040045708,0.0
0.02,1.577777777777778,0.8482324386915002,0.0
0.02,1.788888888888889,0.9031146128404224,0.0
0.02,2.0,0.991336439691839,0.0
0.10666666666666667,0.1,0.35754748030081157,0.0
0.10666666666666667,0.3111111111111111,0.4594553459765156,0.0
0.10666666666666667,0.5222222222222223,0.6326006121079369,0.0
0.10666666666666667,0.7333333333333333,0.7005492332941555,0.0
0.10666666666666667,0.9444444444444444,0.8210132417621545,0.0
0.10666666666666667,1.1555555555555557,0.8331993496406009,0.0
0.10666666666666667,1.3666666666666667,0.8987671022272657,0.0
0.10666666666666667,1.577777777777778,0.9709552705399002,0.0
0.10666666666666667,1.788888888888889,0.975818620330355,0.0
0.10666666666666667,2.0,1.0317504501875003,0.0
0.19333333333333333,0.1,0.4979365181733324,0.0
0.19333333333333333,0.3111111111111111,0.641764532000228,0.0
0.19333333333333333,0.5222222222222223,0.6709438955659582,0.0
0.19333333333333333,0.7333333333333333,0.7128301104593509,0.0
0.19333333333333333,0.9444444444444444,0.8226505779567779,0.0
0.19333333333333333,1.1555555555555557,0.8945585863507266,0.0
0.19333333333333333,1.3666666666666667,0.8933652858512096,0.0
0.19333333333333333,1.577777777777778,0.962573629392403,0.0
0.19333333333333333,1.788888888888889,1.0095200486492002,0.0
0.19333333333333333,2.0,1.011011837203901,0.0
0.28,0.1,0.6232219434299154,0.0
0.28,0.3111111111111111,0.6950652163513521,0.0
0.28,0.5222222222222223,0.7132590237392948,0.0
0.28,0.7333333333333333,0.7925103919724625,0.0
0.28,0.9444444444444444,0.8589559654428077,0.0
0.28,1.1555555555555557,0.8996947785564581,0.0
0.28,1.3666666666666667,0.9489609130623086,0.0
0.28,1.577777777777778,0.9746554381612637,0.0
0.28,1.788888888888889,0.9854453952793163,0.0
0.28,2.0,1.0101667914386923,0.0
0.3666666666666667,0.1,0.6733881728659296,0.0
0.3666666666666667,0.3111111111111111,0.7318490992987944,0.0
0.3666666666666667,0.5222222222222223,0.7239826443130779,0.0
0.3666666666666667,0.7333333333333333,0.8277261252107531,0.0
0.3666666666666667,0.9444444444444444,0.9234426218897077,0.0
0.3666666666666667,1.1555555555555557,0.8836210627206317,0.0
0.3666666666666667,1.3666666666666667,0.9268847833025943,0.0
0.3666666666666667,1.577777777777778,0.962614507877034,0.0
0.3666666666666667,1.788888888888889,1.0235944492182367,0.0
0.3666666666666667,2.0,1.0271034647935113,0.0
0.45333333333333337,0.1,0.6775267199137525,0.0
0.45333333333333337,0.3111111111111111,0.7470863681194556,0.0
0.45333333333333337,0.5222222222222223,0.8106808838675369,0.0
0.45333333333333337,0.7333333333333333,0.8325669677000714,0.0
0.45333333333333337,0.9444444444444444,0.9054762382790612,0.0
0.45333333333333337,1.1555555555555557,0.9073939995253365,0.0
0.45333333333333337,1.3666666666666667,0.9235790374666859,0.0
0.45333333333333337,1.577777777777778,1.0051385294669744,0.0
0.45333333333333337,1.788888888888889,0.9720526354529454,0.0
0.45333333333333337,2.0,1.011889477048924,0.0
0.54,0.1,0.7650658575779001,0.0
0.54,0.3111111111111111,0.831331962280739,0.0
0.54,0.5222222222222223,0.8350626145006537,0.0
0.54,0.7333333333333333,0.8650118845213574,0.0
0.54,0.9444444444444444,0.9259945162288844,0.0
0.54,1.1555555555555557,0.9128995346794128,0.0
0.54,1.3666666666666667,0.9553276335422058,0.0
0.54,1.577777777777778,0.8950281909885675,0.0
0.54,1.788888888888889,0.9943849836966384,0.0
0.54,2.0,1.004632896494343,0.0
0.6266666666666667,0.1,0.751383889371891,0.0
0.6266666666666667,0.3111111111111111,0.8698617826760509,0.0
0.6266666666666667,0.5222222222222223,0.8415792311052662,0.0
0.6266666666666667,0.7333333333333333,0.8903767464344563,0.0
0.6266666666666667,0.9444444444444444,0.9205322709142375,0.0
0.6266666666666667,1.1555555555555557,0.9565770312388286,0.0
0.6266666666666667,1.3666666666666667,0.9234505916361718,0.0
0.6266666666666667,1.577777777777778,0.9678473503088165,0.0
0.6266666666666667,1.788888888888889,0.9904413866665318,0.0
0.6266666666666667,2.0,1.0095204702021559,0.0
0.7133333333333334,0.1,0.7997315225442244,0.0
0.7133333333333334,0.3111111111111111,0.8337726119583896,0.0
0.7133333333333334,0.5222222222222223,0.8884141577845642,0.0
0.7133333333333334,0.7333333333333333,0.887211090304273,0.0
0.7133333333333334,0.9444444444444444,0.8663886999473244,0.0
0.7133333333333334,1.1555555555555557,0.9937006786761401,0.0
0.7133333333333334,1.3666666666666667,0.9133744254863462,0.0
0.7133333333333334,1.577777777777778,0.9684924197049893,0.0
0.7133333333333334,1.788888888888889,1.0128570285555845,0.0
0.7133333333333334,2.0,1.021296264392402,0.0
0.8,0.1,0.8092268674058728,0.0
0.8,0.3111111111111111,0.9324401238391588,0.0
0.8,0.5222222222222223,0.9414614449473774,0.0
0.8,0.7333333333333333,0.9335185717470731,0.0
0.8,0.9444444444444444,0.9161784273721668,0.0
0.8,1.1555555555555557,0.9699079610976554,0.0
0.8,1.3666666666666667,0.9677491915544513,0.0
0.8,1.577777777777778,0.9771735390092151,0.0
0.8,1.788888888888889,0.9348490297960703,0.0
0.8,2.0,1.0082676916159332,0.0
