t_s,x,y,yaw,vx,hitch_deg,steer_rad,steer_rate_cmd,vel_cmd,trailer_x,trailer_y,e_y,e_y_t,e_psi_deg,e_psi_t_deg,s_path,enabled,reverse,in_window,progress_m
0.0,8.725219251831236,0.3366881322628113,0.10168419857717881,0.0,1.3005957647241282,0.0,-0.345495194196701,0.0,5.933948688373575,0.11576135349945726,0.09515049819407215,-0.001334974766950878,3.2627229475813846,1.9787356811891053,18.228230917308483,False,False,False,0.00019309531147015946
0.100920576,8.725247415116089,0.33669032654838454,0.10168132921954554,0.0,1.3383856234163976,0.0,-0.3454951597415124,0.0,5.933831116264276,0.11761260859320591,0.0951514307087602,0.0005196760973393345,3.2625585454990844,1.9407814204145375,18.22825915054987,False,False,False,0.00022132855285761366
0.200224256,8.725501107054365,0.3367096261968385,0.10165838337434963,0.0,1.3558332807908073,0.0,-0.3454166559759201,0.0,5.9340132176043,0.11854601086737138,0.09515936492296155,0.0014440648830098394,3.261243845411998,1.922019062953051,18.22851345179686,False,False,False,0.00047562979984761
0.30042112,8.725548247769254,0.33671378571622174,0.10164884423368914,0.0,1.3802811227687206,0.0,-0.34536225959771744,0.0,5.93396545344211,0.11976793436926389,0.09516141195809817,0.002666903867959666,3.2606972929119706,1.8970246684750875,18.22856073137225,False,False,False,0.0005229093752383562
0.400767744,8.725843776525217,0.336741276313588,0.10158497821252155,0.0,1.3442691021959658,0.0,-0.3451074883845261,0.0,5.934383928375756,0.11821915805232261,0.0951756578146288,0.0011010625767936635,3.2570380394447747,1.929377435580665,18.228857193906336,False,False,False,0.0008193719093227969
0.500395776,8.725870230189905,0.3367437169464617,0.1015803112800211,0.0,1.3141575970415516,0.0,-0.3449404537677765,0.0,5.93452458407466,0.1167676184414981,0.09517691289119928,-0.00035529330862918966,3.2567706439092263,1.9592215451995174,18.22888373025588,False,False,False,0.0008459082588672118
0.600478464,8.726131197795784,0.33676772845655273,0.1015676378899224,0.0,1.3262832638797892,0.0,-0.34494021521890555,0.0,5.934736279898978,0.11741775161615225,0.09518922885517306,0.00028479114750206834,3.2560445121444483,1.9463697465965102,18.22914551062368,False,False,False,0.0011076886266678798
0.69928064,8.726372605934307,0.3367895230221557,0.10155952921185563,0.0,1.364513948772069,0.0,-0.3448703587055206,0.0,5.934830184440495,0.11932479254737927,0.09520020487093397,0.0021857759047812634,3.2555799191137917,1.9076744686735836,18.229387651945046,False,False,False,0.001349829948033232
0.80075008,8.726508867894541,0.3368202289550523,0.10147103035135574,0.0,1.3610753538639508,0.0,-0.34487021448254385,0.0,5.934960253255245,0.11943501302392123,0.0952247858966026,0.002290107982895143,3.250509307915431,1.9060424523833266,18.229525150851583,False,False,False,0.0014873288545693697
0.8992832,8.72664213763583,0.3368530070944713,0.1014076817751004,0.0,1.3091969787799531,0.0,-0.3440434336662292,0.0,5.935277572827506,0.1171171057664662,0.09525157087935536,-3.960979924875365e-05,3.2468797018578375,1.9542912214097352,18.22965975321065,False,False,False,0.0016219312136378505
