t_s,x,y,yaw,vx,hitch_deg,steer_rad,steer_rate_cmd,vel_cmd,trailer_x,trailer_y,e_y,e_y_t,e_psi_deg,e_psi_t_deg,s_path,enabled,reverse,in_window,reversed_m
0.0,9.759520250298864,0.39276792637438174,-3.0999470144331522,0.0,-0.4264203425498239,0.0,0.07184976553529475,0.0,12.556147432472851,0.5301593523280703,0.10469734929492137,0.04469301616563969,-0.1617728807064045,-2.3236412047114694,41.26272924783244,False,False,False,0.0012713836843047943
0.098674944,9.760202986650748,0.392790070955443,-3.099995608969928,0.0,-0.40357995288880694,0.0,0.0729273483157157,0.0,12.5568913353248,0.5289307349423857,0.10468912131255664,0.04340273540300645,-0.1645571425710545,-2.3492658562371522,41.262046202000185,False,False,False,0.0005883378520508131
0.198734848,9.760248703550964,0.3927954694914377,-3.0999900609029605,0.0,-0.35312971236010776,0.0,0.07292715937088057,0.0,12.557055101306338,0.5264890500202242,0.10469248219179894,0.040956193635921255,-0.1642392617493539,-2.3993982159441565,41.26200029030617,False,False,False,0.0005424261580344591
0.300589312,9.760579445726288,0.3928368565430276,-3.0999563929400447,0.0,-0.3932148328102979,0.0,0.0728455509801944,0.0,12.557287056022089,0.5285812579507705,0.10471912536592322,0.04301923545017942,-0.16231022956950003,-2.357384063314099,41.26166803525978,False,False,False,0.00021017111164667313
0.399479808,9.760492946651965,0.39282688086169165,-3.099997441304982,0.0,-0.42921260104869025,0.0,0.07281370127140704,0.0,12.557120361393679,0.5302135727756979,0.1047130048155217,0.04465991913971016,-0.16466212763627186,-2.323738193142547,41.26175489228564,False,False,False,0.0002970281375027639
0.500228608,9.759830834624282,0.39274599528820353,-3.100260755203571,0.0,-0.4460285910488186,0.0,0.07381365010229597,0.0,12.55645410169411,0.5302170907362469,0.10466163303302706,0.044723068711730256,-0.1797489027125714,-2.322008978218684,41.262419945481376,False,False,False,0.0009620813332418265
0.599108608,9.759806404728325,0.3927428388747482,-3.1002685368423744,0.0,-0.3976965225819297,0.0,0.0743300169706344,0.0,12.556545692332698,0.527833020494988,0.10465956575764307,0.04234037165881195,-0.18019475777371008,-2.3707869017466994,41.262444491542865,False,False,False,0.0009866273947309878
0.701011712,9.759836109826875,0.39275486104685636,-3.100422003605103,0.0,-0.397720900476253,0.0,0.07433219761469101,0.0,12.55659603905448,0.5274170245033936,0.10467025552084878,0.041921538800106045,-0.18898775557361636,-2.3795555216522395,41.26241428137133,False,False,False,0.0009564172231932844
0.799436032,9.75986275623355,0.3927675085075808,-3.100515048821724,0.0,-0.4008789974034847,0.0,0.0757297351956367,0.0,12.556627790650616,0.5273236018743052,0.10468170592699431,0.04182564878165104,-0.1943188537898936,-2.381728522941272,41.262387099071006,False,False,False,0.000929234922871558
0.899535104,9.76047154314047,0.39280274808118965,-3.100304933568612,0.0,-0.3746905182657814,0.0,0.07572310006946145,0.0,12.557269722234881,0.5266681484435805,0.10468984737380538,0.04111535936701915,-0.18228013657520284,-2.3958782848643594,41.26177734744745,False,False,False,0.0003194832993145269
