t_s,x,y,yaw,vx,hitch_deg,steer_rad,steer_rate_cmd,vel_cmd,trailer_x,trailer_y,e_y,e_y_t,e_psi_deg,e_psi_t_deg,s_path,enabled,reverse,in_window,progress_m
0.0,9.99838645082608,0.39065786185313245,-3.046702981296636,0.0,-1.3938407593493218,0.0,-0.2298004031181335,0.0,12.778512308415204,0.7236747022146115,0.09197070429997131,0.2175245225948775,2.888885502270668,1.6944375950650479,41.024192989301866,False,False,False,0.0014085489845854227
0.09996032,9.99840939243668,0.3906548662437853,-3.0467640755799352,0.0,-1.3938407593493218,0.0,-0.22956478543288036,0.0,12.778555590262552,0.7235018561871249,0.09196669179528048,0.2173484958586174,2.8853850576852564,1.6909371504796875,41.02417020353924,False,False,False,0.0014313347472096893
0.20033152,9.998408672982762,0.3906581889228734,-3.0467341842227644,0.0,-1.4580752012443996,0.0,-0.22942081744663698,0.0,12.778169924500622,0.7267048888915885,0.09197004317253922,0.220573193583419,2.8870977062950614,1.756884240984559,41.02417077457403,False,False,False,0.0014307637124204575
0.299135488,9.998397321980315,0.3906867008980223,-3.0465366302676267,0.0,-1.4741997664792823,0.0,-0.2302469963080901,0.0,12.777997294747832,0.7280648142824206,0.09199903156370805,0.22194311288702828,2.898416714150572,1.7843278140749563,41.024180846870735,False,False,False,0.0014206914157171013
0.399205376,9.998397122481384,0.3906872360272486,-3.0465339093737738,0.0,-1.4060929301333815,0.0,-0.2306906431913375,0.0,12.778395259900996,0.724768597290462,0.09199957503252806,0.21862450395306063,2.8985726098848206,1.7163768734632805,41.024181022383566,False,False,False,0.0014205159028861658
0.499271936,9.998349613822889,0.39067307085850406,-3.0466491593323415,0.0,-1.4298181744679659,0.0,-0.23068731279424193,0.0,12.77824779235533,0.7255851742408895,0.09198753583875828,0.21945100390306854,2.891969273669884,1.7334987815828753,41.024229113780414,False,False,False,0.0013724245060373619
0.599532544,9.998304096240016,0.3906579769653315,-3.0467346263284667,0.0,-1.4846443850992372,0.0,-0.2295691519975662,0.0,12.777909366539255,0.7279924420362716,0.09197448032650717,0.22187890285427173,2.8870723755042227,1.783428094048553,41.02427525735593,False,False,False,0.0013262809305203405
0.699346432,9.998404809214001,0.3906688639268975,-3.046731097222165,0.0,-1.55022635740918,0.0,-0.22956984956264687,0.0,12.777620936773054,0.7311945110016234,0.09198087938511325,0.225093935826785,2.8872745784007465,1.849212269255048,41.02417415997164,False,False,False,0.0014273783148084362
0.799885056,9.999312101098758,0.39076801645117015,-3.046704223300277,0.0,-1.5745516115334437,0.0,-0.22981720862992516,0.0,12.778374222086583,0.7325482494820514,0.09203960072329567,0.22637480213144073,2.8888143407038833,1.8750772856824438,41.02326335725335,False,False,False,0.002338181033103126
0.900138752,9.999367143979116,0.3907758919897504,-3.046686491233474,0.0,-1.5131047894485803,0.0,-0.229988377464119,0.0,12.778788200668544,0.7296248105824255,0.09204502157503607,0.22342604091166948,2.8898303132937584,1.8146464361874153,41.02320801868495,False,False,False,0.002393519601504579
1.00084608,9.999787558398326,0.3908409820377687,-3.046552764926811,0.0,-1.433736890205182,0.0,-0.23060021307123013,0.0,12.779630509390113,0.7262111772270137,0.0920913579824775,0.21995070798977928,2.8974922662754063,1.742940489925687,41.02278512633981,False,False,False,0.0028164119466396187
1.101157376,9.999787558398326,0.3908409820377687,-3.046552764926811,0.0,-1.365501186656485,0.0,-0.2309450656175613,0.0,12.780027942932012,0.7229003204217164,0.0920913579824775,0.21661756561681478,2.8974922662754063,1.6747047863770033,41.02278512633981,False,False,False,0.0028164119466396187
1.199715584,9.999510666464056,0.39081623713404884,-3.0465830170129133,0.0,-1.5208249602251898,0.0,-0.23094425526516993,0.0,12.778850924848241,0.7303272503941998,0.09207894662094847,0.2241200449667578,2.8957589494202973,1.8282952430905977,41.02306284456325,False,False,False,0.0025386937232028117
1.30043648,9.999252592371237,0.3907934416636045,-3.046603493237418,0.0,-1.6091768638901445,0.0,-0.2305396539260633,0.0,12.778073048873384,0.7345329804501537,0.092067646228647,0.2283785258796062,2.894585748175832,1.9154739455110419,41.02332167688733,False,False,False,0.0022798613991241723
1.399170048,9.999278308889266,0.39081151477048653,-3.0465498785187344,0.0,-1.636826969148416,0.0,-0.230538010597229,0.0,12.777914052757176,0.7360410078611521,0.09208455825491378,0.22989473200658597,2.8976576452761704,1.9461959478696935,41.02329518236225,False,False,False,0.002306355924204695
1.500181248,9.999299738591857,0.3908290755585022,-3.0465173145215583,0.0,-1.6402999979538466,0.0,-0.2310064136981964,0.0,12.777903301987209,0.7363174798308538,0.09210114903682519,0.2301710563112157,2.899523424878437,1.9515347562773713,41.023272993189565,False,False,False,0.002328545096887069
1.602281984,9.999221151477466,0.3908204979741755,-3.0465230787778506,0.0,-1.592552144372326,0.0,-0.23100223669594297,0.0,12.778113643349046,0.7339771948631548,0.09209607347943446,0.22782133777097213,2.8991931573208833,1.9034566351382567,41.02335188392551,False,False,False,0.0022496543609449304
