t_ns,path_id
1785942415153586877,0
1785942415185755131,0
1785942415285563126,0
1785942415386132846,0
1785942415487491397,0
1785942415585902185,0
1785942415685903916,0
1785942415786630698,0
1785942415885515681,0
1785942415985854192,0
1785942416085794224,0
1785942416185753616,0
1785942416286434157,0
1785942416390706932,0
1785942416485717397,0
1785942416586007266,0
1785942416687296310,0
1785942416785449137,0
1785942416885610521,0
1785942416986582625,0
1785942417085636222,0
1785942417185772262,0
1785942417285838634,0
1785942417386460805,0
1785942417486601260,0
1785942417586308771,0
1785942417686316933,0
1785942417786285350,0
1785942417885844695,0
1785942417985969406,0
1785942418086335918,0
1785942418192929424,0
1785942418286148587,0
1785942418387231447,0
1785942418486032203,0
1785942418588165600,0
1785942418686870640,0
1785942418785625377,0
1785942418907954469,1
1785942418987021340,1
1785942419090115286,1
1785942419186657106,1
1785942419286436491,1
1785942419388695653,1
1785942419486717882,1
1785942419592662243,1
1785942419686749728,1
1785942419786806308,1
1785942419901672422,1
1785942419986609024,1
1785942420086759464,1
1785942420187307616,1
1785942420287467816,1
1785942420388656760,1
1785942420486736112,1
1785942420586806453,1
1785942420687565396,1
1785942420786709909,1
1785942420903453344,1
1785942420986952547,1
1785942421086746845,1
1785942421196224206,1
1785942421287515903,1
1785942421386981516,1
1785942421490838724,1
1785942421587447554,1
1785942421686684135,1
1785942421788039069,1
1785942421902512720,1
1785942421986711374,1
1785942422087273638,1
1785942422191081756,1
1785942422287483474,1
1785942422386739096,1
1785942422487727008,1
1785942422587520858,1
1785942422687760869,1
1785942422788688587,1
1785942422900935784,1
1785942422986779462,1
1785942423087480611,1
1785942423190635967,1
1785942423286963187,1
1785942423388342666,1
1785942423487096124,1
1785942423589515868,1
1785942423694966033,1
1785942423788710049,1
1785942423903377819,1
1785942423991260648,1
1785942424088714919,1
1785942424190168002,1
1785942424288160214,1
1785942424387542048,1
1785942424489539280,1
1785942424588612750,1
1785942424690547995,1
1785942424788553520,1
1785942424900694504,1
1785942424987670322,1
1785942425088052611,1
1785942425187727832,1
1785942425287009278,1
1785942425387602743,1
1785942425487191402,1
1785942425587664030,1
1785942425686955461,1
1785942425788313659,1
1785942425908299556,1
1785942425986459032,1
1785942426086865929,1
1785942426196590724,1
1785942426286764522,1
1785942426387426469,1
1785942426488559603,1
1785942426587177248,1
1785942426687109791,1
1785942426786443784,1
1785942426911494068,1
1785942426986856252,1
1785942427086411117,1
1785942427186904194,1
1785942427296830404,1
1785942427387891532,1
1785942427497100435,1
1785942427586541628,1
1785942427689391533,1
1785942427787444099,1
1785942427914787881,1
1785942427989328880,1
1785942428113787270,1
1785942428186717263,1
1785942428286631790,1
1785942428394535074,1
1785942428501060609,1
1785942428587514935,1
1785942428687640062,1
1785942428788592357,1
1785942428898238396,1
1785942428986608604,1
1785942429087038511,1
1785942429187372094,1
1785942429286734695,1
1785942429391579173,1
1785942429486535651,1
1785942429601002838,1
1785942429686996217,1
1785942429786882583,1
1785942429890015859,1
1785942429987204392,1
1785942430089823471,1
