t_ns,reverse
1785942415134831847,0
1785942415186611741,0
1785942415286465337,0
1785942415386744390,0
1785942415488004825,0
1785942415586482816,0
1785942415686393407,0
1785942415787203264,0
1785942415886461317,0
1785942415986677136,0
1785942416086359462,0
1785942416186221026,0
1785942416287123079,0
1785942416392347700,0
1785942416486415952,0
1785942416586646875,0
1785942416688869651,0
1785942416786152332,0
1785942416886622432,0
1785942416992301023,0
1785942417086220181,0
1785942417186372797,0
1785942417286542246,0
1785942417387180704,0
1785942417487575858,0
1785942417588277935,0
1785942417687425456,0
1785942417787639739,0
1785942417891109635,0
1785942417986702874,0
1785942418087061034,0
1785942418199847516,0
1785942418286736162,0
1785942418388147675,0
1785942418486801449,0
1785942418589187047,0
1785942418689932326,0
1785942418786417120,0
1785942418914047761,1
1785942418991534826,1
1785942419094490911,1
1785942419194072401,1
1785942419292007139,1
1785942419393584738,1
1785942419498533700,1
1785942419598640554,1
1785942419691556570,1
1785942419791826086,1
1785942419906053872,1
1785942419991670789,1
1785942420091521153,1
1785942420201147960,1
1785942420292555949,1
1785942420394478010,1
1785942420491211389,1
1785942420607750272,1
1785942420692343661,1
1785942420790955322,1
1785942420911612284,1
1785942420995822106,1
1785942421091407473,1
1785942421205828578,1
1785942421293523623,1
1785942421391593855,1
1785942421503282694,1
1785942421592065301,1
1785942421690679202,1
1785942421793953122,1
1785942421919772749,1
1785942421990515425,1
1785942422093697055,1
1785942422200713681,1
1785942422293624416,1
1785942422390948571,1
1785942422498172181,1
1785942422593522786,1
1785942422694008951,1
1785942422797006990,1
1785942422905689280,1
1785942422990858724,1
1785942423092391617,1
1785942423194086309,1
1785942423290914476,1
1785942423392912699,1
1785942423491902774,1
1785942423596242561,1
1785942423698685153,1
1785942423796177314,1
1785942423908433087,1
1785942423994862996,1
1785942424094859445,1
1785942424198253723,1
1785942424294199232,1
1785942424399731672,1
1785942424501749129,1
1785942424593939484,1
1785942424696951923,1
1785942424795598913,1
1785942424906926490,1
1785942424992263812,1
1785942425092705335,1
1785942425192938178,1
1785942425294518721,1
1785942425391972769,1
1785942425492635484,1
1785942425595773240,1
1785942425695349898,1
1785942425806493276,1
1785942425913474316,1
1785942425991889770,1
1785942426102827508,1
1785942426204941704,1
1785942426291586725,1
1785942426397909500,1
1785942426493697402,1
1785942426592429003,1
1785942426697561876,1
1785942426793170092,1
1785942426917459259,1
1785942426992610267,1
1785942427090822296,1
1785942427192066698,1
1785942427305891332,1
1785942427393461860,1
1785942427514884868,1
1785942427590847235,1
1785942427709329105,1
1785942427792714767,1
1785942427921171808,1
1785942427996056949,1
1785942428119147222,1
1785942428190909618,1
1785942428292076961,1
1785942428399742124,1
1785942428508139860,1
1785942428592722432,1
1785942428693311161,1
1785942428793028528,1
1785942428903296064,1
1785942428991136427,1
1785942429092759436,1
1785942429192063347,1
1785942429292043093,1
1785942429395786280,1
1785942429492508491,1
1785942429610294974,1
1785942429692509231,1
1785942429791117403,1
1785942429911151685,1
1785942429990877974,1
1785942430094514437,1
1785942430192243311,1
1785942430299445960,1
1785942430391964009,1
1785942430498107609,1
1785942430599286472,1
1785942430690893797,1
