t_ns,enabled
1785948350018170921,0
1785948350041783240,0
1785948350131785698,0
1785948350232376504,0
1785948350338691736,0
1785948350431750061,0
1785948350531779602,0
1785948350633988344,0
1785948350731938879,0
1785948350831776926,0
1785948350932224271,0
1785948351033691903,0
1785948351131840619,0
1785948351233690759,0
1785948351331833363,0
1785948351432210114,0
1785948351532497775,0
1785948351632603990,0
1785948351732404052,0
1785948351832931880,0
1785948351932097683,0
1785948352031475236,0
1785948352132976469,0
1785948352233210144,0
1785948352342512441,0
1785948352431840543,0
1785948352533395249,0
1785948352656498566,0
1785948352730978289,0
1785948352831690186,0
1785948352931628780,0
1785948353034875217,0
1785948353143444884,0
1785948353237159965,0
1785948353332961796,0
1785948353432167280,0
1785948353532155764,0
1785948353631494276,0
1785948353731753744,0
1785948353854179504,1
1785948353936561351,1
1785948354035471242,1
1785948354136636433,1
1785948354239834804,1
1785948354342012601,1
1785948354436311347,1
1785948354537012364,1
1785948354634127130,1
1785948354735011960,1
1785948354847366829,1
1785948354934103397,1
1785948355041191196,1
1785948355135416084,1
1785948355237052393,1
1785948355335689604,1
1785948355437024400,1
1785948355537712841,1
1785948355650219169,1
1785948355734893148,1
1785948355861217009,1
1785948355937462033,1
1785948356039052516,1
1785948356136919785,1
1785948356236355580,1
1785948356354501309,1
1785948356435868533,1
1785948356534884924,1
1785948356644975021,1
1785948356735288304,1
1785948356848599776,1
1785948356944150752,1
1785948357035849932,1
1785948357134227296,1
1785948357236182462,1
1785948357335518862,1
1785948357434495508,1
1785948357535075881,1
1785948357636180270,1
1785948357742286184,1
1785948357850145846,1
1785948357936017845,1
1785948358040126996,1
1785948358135216133,1
1785948358235392334,1
1785948358339196516,1
1785948358435458904,1
1785948358535637250,1
1785948358634901872,1
1785948358737469280,1
1785948358859244493,1
1785948358934232647,1
1785948359041798477,1
1785948359154739891,1
1785948359242938615,1
1785948359334680965,1
1785948359437252021,1
1785948359535826095,1
1785948359638505795,1
1785948359737132990,1
1785948359849181769,1
1785948359936110279,1
1785948360036351218,1
1785948360138439252,1
1785948360239243216,1
1785948360344333516,1
1785948360435819602,1
1785948360539262333,1
1785948360634775195,1
1785948360735277454,1
1785948360849805699,1
1785948360936860581,1
1785948361036676547,1
1785948361139529180,1
1785948361237820077,1
1785948361341101587,1
1785948361435523505,1
1785948361538445708,1
1785948361636306576,1
1785948361753120489,1
1785948361847697644,1
1785948361935976594,1
1785948362037062295,1
1785948362135644624,1
1785948362236660562,1
1785948362335315118,1
1785948362434414423,1
1785948362534968076,1
1785948362638182768,1
1785948362737444318,1
1785948362848878678,1
1785948362936492201,1
1785948363038335108,1
1785948363135949601,1
1785948363236031943,1
1785948363337362355,1
1785948363435186358,1
1785948363534841136,1
1785948363634881269,1
1785948363735751795,1
1785948363848335790,1
1785948363935310222,1
1785948364037048389,1
1785948364139691384,1
1785948364237950856,1
1785948364340232016,1
1785948364435844977,1
1785948364536356804,1
1785948364635910331,1
1785948364739016188,1
1785948364842503048,1
1785948364937453077,1
1785948365042618163,1
1785948365137179509,1
1785948365262343687,1
1785948365340037874,1
1785948365437197729,1
1785948365535292588,1
1785948365641244130,1
1785948365734141170,1
1785948365838019209,1
1785948365935367582,1
1785948366035537831,1
1785948366135285380,1
1785948366235936379,1
1785948366337383754,1
1785948366440909783,1
1785948366535241490,1
1785948366635836360,1
1785948366735421952,1
1785948366834786129,1
1785948366943897476,1
1785948367035352522,1
1785948367140389412,1
1785948367235722492,1
1785948367337661146,1
1785948367439498325,1
1785948367535080661,1
1785948367635151099,1
1785948367734633360,1
1785948367834714230,1
1785948367934746427,1
1785948368037654230,1
1785948368136241424,1
1785948368234759047,1
1785948368335658470,1
1785948368443992706,1
1785948368538745322,1
1785948368643808165,1
1785948368737243461,1
1785948368837342444,1
1785948368945428353,1
1785948369036101615,1
1785948369135547522,1
1785948369238637219,1
1785948369335546442,1
1785948369437905653,1
1785948369539205375,1
1785948369637318027,1
1785948369736549208,1
1785948369839254477,1
1785948369940308976,1
1785948370037912429,1
1785948370137827214,1
1785948370244028747,1
1785948370337149826,1
1785948370435403474,1
1785948370538379918,1
1785948370638854720,1
1785948370737143377,1
1785948370836216474,1
1785948370936770766,1
1785948371035408202,1
1785948371137028670,1
1785948371234223278,1
1785948371335581755,1
1785948371434650211,1
1785948371537596991,1
1785948371639325238,1
1785948371735051515,1
1785948371838702091,1
1785948371936809239,1
1785948372035268333,1
1785948372136085961,1
1785948372234887466,1
1785948372338902181,1
1785948372437236215,1
1785948372535008281,1
1785948372640156086,1
1785948372735068259,1
1785948372835219019,1
1785948372936508598,1
1785948373035668672,1
1785948373137993258,1
1785948373238562271,1
1785948373336219261,1
1785948373435305670,1
1785948373547191724,1
1785948373635986818,1
1785948373734905509,1
1785948373838325391,1
1785948373936572351,1
1785948374035616743,1
1785948374135614794,1
1785948374236664910,1
1785948374338437606,1
1785948374434998564,1
1785948374536216204,1
1785948374635076206,1
1785948374735981101,1
1785948374837816008,1
1785948374934062044,1
1785948375034525454,1
1785948375135708437,1
1785948375237182821,1
1785948375337731417,1
1785948375442138944,1
1785948375539461332,1
1785948375636688326,1
1785948375736169018,1
1785948375837023384,1
1785948375948014339,1
1785948376043641381,1
1785948376134994183,1
1785948376235539835,1
