t_ns,hitch_angle,hitch_rate
1785948350164329804,-0.0243271104991436,0.0
1785948350317387357,-0.026222720742225647,0.0
1785948350444036155,-0.024500858038663864,0.0
1785948350590502920,-0.025106949731707573,0.0
1785948350739687205,-0.026996679604053497,0.0
1785948350868580710,-0.02754097245633602,0.0
1785948351017379673,-0.02558359131217003,0.0
1785948351148853382,-0.023644808679819107,0.0
1785948351300646546,-0.027819983661174774,0.0
1785948351454598173,-0.028572460636496544,0.0
1785948351583953740,-0.028645051643252373,0.0
1785948351733956834,-0.02689525857567787,0.0
1785948351859087315,-0.025615902617573738,0.0
1785948352006016206,-0.028526660054922104,0.0
1785948352156175400,-0.02532932534813881,0.0
1785948352282736516,-0.02748337760567665,0.0
1785948352433300746,-0.024710120633244514,0.0
1785948352562422898,-0.026354573667049408,0.0
1785948352714415300,-0.022897597402334213,0.0
1785948352888666092,-0.025960911065340042,0.0
1785948353045214085,-0.027218807488679886,0.0
1785948353246051686,-0.02633209526538849,0.0
1785948353379088066,-0.027342434972524643,0.0
1785948353533678145,-0.026536038145422935,0.0
1785948353688441925,-0.0259885024279356,0.0
1785948353822023378,-0.026481429114937782,0.0
1785948353979627818,-0.028092145919799805,0.0
1785948354107179171,-0.02759181521832943,0.0
1785948354254462024,-0.026141289621591568,0.0
1785948354406157105,-0.027328629046678543,0.0
1785948354531815761,-0.024878615513443947,0.0
1785948354678232540,-0.0242193341255188,0.0
1785948354804752119,-0.02545623667538166,0.0
1785948354947584183,-0.029059646651148796,0.0
1785948355097262947,-0.025563495233654976,0.0
1785948355224085191,-0.02758347988128662,0.0
1785948355374506121,-0.03217414766550064,0.0
1785948355500943553,-0.02877781353890896,0.0
1785948355651502791,-0.030058270320296288,0.0
1785948355806489298,-0.024213047698140144,0.0
1785948355932209940,0.002811974845826626,0.0
1785948356088900594,0.014884757809340954,0.0
1785948356216158402,0.034893620759248734,0.0
1785948356363919669,0.07251939177513123,0.0
1785948356514812582,0.08843464404344559,0.0
1785948356640256384,0.1188383474946022,0.0
1785948356787280893,0.13517829775810242,0.0
1785948356912670806,0.1557186096906662,0.0
1785948357071914687,0.20446988940238953,0.0
1785948357225152822,0.22581230103969574,0.0
1785948357353023928,0.2639378607273102,0.0
1785948357501010962,0.28402096033096313,0.0
1785948357626825303,0.3297119438648224,0.0
1785948357769003396,0.3526509404182434,0.0
1785948357917307208,0.3672678768634796,0.0
1785948358043917636,0.4024025797843933,0.0
1785948358193275463,0.4142034947872162,0.0
1785948358327820849,0.4281405806541443,0.0
1785948358466035143,0.4516679644584656,0.0
1785948358616324646,0.45634350180625916,0.0
1785948358740593341,0.46450838446617126,0.0
1785948358892247620,0.4643329977989197,0.0
