t_ns,path_id
1785945590310267915,0
1785945590310304364,0
1785945590396021459,0
1785945590495946659,0
1785945590609487434,0
1785945590698037317,0
1785945590797972117,0
1785945590896316758,0
1785945590998159167,0
1785945591096833417,0
1785945591199108447,0
1785945591295922738,0
1785945591396713179,0
1785945591496168477,0
1785945591596303219,0
1785945591696986714,0
1785945591797867334,0
1785945591897552175,0
1785945591995557637,0
1785945592097485905,0
1785945592196260318,0
1785945592298001028,0
1785945592395839893,0
1785945592496384632,0
1785945592597843573,0
1785945592698182673,0
1785945592797263624,0
1785945592896303997,0
1785945592997559509,0
1785945593111983287,0
1785945593204277762,0
1785945593296256228,0
1785945593408273277,0
1785945593499043835,0
1785945593597620514,0
1785945593696525140,0
1785945593796970515,0
1785945593896835265,0
1785945594000807530,0
1785945594111457531,1
1785945594197351718,1
1785945594298677088,1
1785945594396943870,1
1785945594500480410,1
1785945594598869756,1
1785945594700590305,1
1785945594797388723,1
1785945594899056791,1
1785945594999971525,1
1785945595113219107,1
1785945595198041295,1
1785945595305006257,1
1785945595400984171,1
1785945595498230795,1
1785945595601898730,1
1785945595696723361,1
1785945595799076346,1
1785945595897762437,1
1785945595998910873,1
1785945596109812369,1
1785945596199197638,1
1785945596297357696,1
1785945596398984387,1
1785945596498236287,1
1785945596598734176,1
1785945596698726033,1
1785945596797210806,1
1785945596897936958,1
1785945596999677636,1
1785945597110437848,1
1785945597204563642,1
1785945597299045351,1
1785945597397559052,1
1785945597498714497,1
1785945597597184997,1
1785945597698691524,1
1785945597809306036,1
1785945597897291006,1
1785945597999746970,1
1785945598108871101,1
1785945598198963718,1
1785945598298703633,1
1785945598398626208,1
1785945598499217668,1
1785945598598305179,1
1785945598698547636,1
1785945598798445315,1
1785945598899132553,1
1785945598998104413,1
1785945599112434524,1
1785945599198262181,1
1785945599297724775,1
1785945599398466095,1
1785945599497320895,1
1785945599600649845,1
1785945599697446823,1
1785945599797839333,1
1785945599901805485,1
1785945599997500670,1
