t_ns,x,y,yaw,vx,vy,wz
1785945590311593491,9.951548777236225,0.4014926189097816,-3.1053734420857557,0.0,0.0,0.0
1785945590344474380,9.952013083325458,0.40153166959992764,-3.1053835957093066,0.0,0.0,0.0
1785945590385228624,9.952013083325458,0.40153166959992764,-3.1053835957093066,0.0,0.0,0.0
1785945590428541152,9.952013083325458,0.40153166959992764,-3.1053835957093066,0.0,0.0,0.0
1785945590480307182,9.952013083325458,0.40153166959992764,-3.1053835957093066,0.0,0.0,0.0
1785945590542669593,9.952165986722711,0.4015643820510367,-3.1053902043888515,0.0,0.0,0.0
1785945590602181455,9.952292427105837,0.4015957674086582,-3.105393874191811,0.0,0.0,0.0
1785945590628544741,9.952292427105837,0.4015957674086582,-3.105393874191811,0.0,0.0,0.0
1785945590679734113,9.952292427105837,0.4015957674086582,-3.105393874191811,0.0,0.0,0.0
1785945590745134183,9.952901357561458,0.40161249284088935,-3.105388186441252,0.0,0.0,0.0
1785945590795496459,9.953408789971705,0.4016256316364237,-3.1053848286270753,0.0,0.0,0.0
1785945590830308093,9.953408789971705,0.4016256316364237,-3.1053848286270753,0.0,0.0,0.0
1785945590878791497,9.953408789971705,0.4016256316364237,-3.1053848286270753,0.0,0.0,0.0
1785945590945851169,9.952848588811596,0.40162068611845597,-3.105349714871957,0.0,0.0,0.0
1785945590997063070,9.95237970480906,0.4016188246056411,-3.1053285693398855,0.0,0.0,0.0
1785945591029350725,9.95237970480906,0.4016188246056411,-3.1053285693398855,0.0,0.0,0.0
1785945591080246840,9.95237970480906,0.4016188246056411,-3.1053285693398855,0.0,0.0,0.0
1785945591129516764,9.95237970480906,0.4016188246056411,-3.1053285693398855,0.0,0.0,0.0
1785945591195458482,9.952690730730508,0.40164353541988435,-3.1052983586562917,0.0,0.0,0.0
1785945591243487088,9.952948666986527,0.4016661578286754,-3.105281326632304,0.0,0.0,0.0
1785945591279189277,9.952948666986527,0.4016661578286754,-3.105281326632304,0.0,0.0,0.0
1785945591328595012,9.952948666986527,0.4016661578286754,-3.105281326632304,0.0,0.0,0.0
1785945591393465242,9.953151368748953,0.4016937794092688,-3.1052753229419254,0.0,0.0,0.0
1785945591444160392,9.953322393575286,0.40171999702327893,-3.105271477271311,0.0,0.0,0.0
1785945591479620718,9.953322393575286,0.40171999702327893,-3.105271477271311,0.0,0.0,0.0
1785945591529221211,9.953322393575286,0.40171999702327893,-3.105271477271311,0.0,0.0,0.0
1785945591606581735,9.954640891574742,0.40176294382666566,-3.1053769728679295,0.0,0.0,0.0
1785945591643430934,9.95574136114432,0.4017980964186002,-3.1054377514806344,0.0,0.0,0.0
1785945591666971831,9.95574136114432,0.4017980964186002,-3.1054377514806344,0.0,0.0,0.0
