t_ns,enabled
1785945590310229610,0
1785945590310292652,0
1785945590396551683,0
1785945590496342318,0
1785945590610148414,0
1785945590698611702,0
1785945590798310111,0
1785945590896864870,0
1785945590998640781,0
1785945591097119154,0
1785945591200117437,0
1785945591296413249,0
1785945591396678650,0
1785945591496740814,0
1785945591596481241,0
1785945591697655086,0
1785945591797832869,0
1785945591898403368,0
1785945591995909039,0
1785945592098083426,0
1785945592196598792,0
1785945592298615990,0
1785945592395812596,0
1785945592496770819,0
1785945592599273440,0
1785945592698908679,0
1785945592801199806,0
1785945592896627495,0
1785945592998552178,0
1785945593112259039,0
1785945593205160220,0
1785945593296233699,0
1785945593408237116,0
1785945593499835091,0
1785945593598017230,0
1785945593697174375,0
1785945593798574307,0
1785945593897230285,0
1785945594001612162,0
1785945594115386544,1
1785945594200899601,1
1785945594302718521,1
1785945594400785329,1
1785945594506625330,1
1785945594604943474,1
1785945594704808224,1
1785945594801274856,1
1785945594904082926,1
1785945595003546384,1
1785945595117082263,1
1785945595202258701,1
1785945595308604413,1
1785945595404736411,1
1785945595502054653,1
1785945595602753828,1
1785945595700654199,1
1785945595803292856,1
1785945595902556180,1
1785945596002502788,1
1785945596114111794,1
1785945596208849286,1
1785945596301154930,1
1785945596402679154,1
1785945596502570880,1
1785945596603736021,1
1785945596703883852,1
1785945596801613018,1
1785945596901732591,1
1785945597003395859,1
1785945597115707926,1
1785945597210312134,1
1785945597302671123,1
1785945597401746634,1
1785945597503018114,1
1785945597600834770,1
1785945597703664281,1
1785945597812854430,1
1785945597901064463,1
1785945598004502376,1
1785945598113678413,1
1785945598203101698,1
1785945598302468321,1
1785945598402447859,1
1785945598503221148,1
1785945598601683680,1
1785945598703130269,1
1785945598802203795,1
1785945598915029893,1
1785945599002650853,1
1785945599116312144,1
1785945599204128597,1
1785945599302003719,1
1785945599402499880,1
1785945599502640094,1
1785945599610556093,1
1785945599701505696,1
1785945599803165604,1
1785945599905780164,1
1785945600003106598,1
1785945600114948219,1
1785945600200954474,1
1785945600301943449,1
1785945600400682150,1
1785945600506380002,1
1785945600600841934,1
1785945600704293320,1
1785945600800704206,1
1785945600903089512,1
1785945601002323971,1
1785945601115655044,1
1785945601204802705,1
1785945601301097012,1
1785945601404777460,1
1785945601502829484,1
1785945601602312590,1
1785945601703258525,1
1785945601802219696,1
1785945601901342727,1
1785945602000446527,1
1785945602119822773,1
1785945602202995343,1
1785945602302548275,1
1785945602402710698,1
1785945602504569108,1
1785945602604540357,1
1785945602701900424,1
1785945602803831956,1
1785945602901708038,1
1785945603015207916,1
1785945603118838283,1
1785945603201715868,1
1785945603303806029,1
1785945603400783364,1
1785945603504046392,1
1785945603603304340,1
1785945603703356904,1
1785945603801985808,1
1785945603902517554,1
1785945604002705034,1
1785945604117964453,1
1785945604204763820,1
1785945604303184206,1
1785945604402734739,1
1785945604514413891,1
1785945604603030464,1
1785945604703643780,1
1785945604807752625,1
1785945604903252284,1
1785945605002627964,1
1785945605105327550,1
1785945605211124030,1
1785945605302753557,1
1785945605403405467,1
1785945605502992416,1
1785945605604981070,1
1785945605704540147,1
1785945605802816337,1
1785945605908080961,1
1785945606001176452,1
1785945606118565407,1
1785945606201067525,1
1785945606304161107,1
1785945606410651784,1
1785945606503956369,1
1785945606613324604,1
1785945606707483135,1
1785945606803787074,1
1785945606903404681,1
1785945607009481233,1
1785945607103540817,1
1785945607202768460,1
1785945607309904851,1
1785945607415024607,1
1785945607503610043,1
1785945607605589128,1
1785945607713435685,1
1785945607804025405,1
1785945607903026641,1
1785945608001809535,1
1785945608104431615,1
1785945608200787268,1
1785945608303153149,1
1785945608401755333,1
1785945608503921592,1
1785945608604101839,1
1785945608708629673,1
1785945608804591842,1
1785945608901411701,1
1785945609002290529,1
1785945609107537488,1
1785945609202521836,1
1785945609312711567,1
1785945609401281067,1
1785945609506256562,1
1785945609600998214,1
1785945609703736266,1
1785945609801232978,1
1785945609902532394,1
1785945610014532036,1
1785945610102306408,1
1785945610201672615,1
1785945610308367809,1
1785945610402183418,1
1785945610500790082,1
1785945610601963511,1
1785945610703828705,1
1785945610802841078,1
1785945610902770885,1
1785945611006142460,1
1785945611102486049,1
1785945611203851836,1
1785945611307168593,1
1785945611401696319,1
1785945611502921366,1
1785945611601818407,1
1785945611707833165,1
1785945611803202996,1
1785945611902699863,1
1785945612001325088,1
1785945612103906367,1
1785945612202795856,1
1785945612301436537,1
1785945612402061182,1
1785945612520865699,1
1785945612602908667,1
1785945612703561569,1
1785945612802995362,1
1785945612903146873,1
1785945613004854462,1
1785945613102687663,1
1785945613203655550,1
1785945613302159939,1
1785945613401780010,1
1785945613505473898,1
1785945613603738152,1
1785945613702869024,1
1785945613801304483,1
1785945613902264882,1
1785945614001757973,1
1785945614103882407,1
1785945614202094275,1
1785945614301832557,1
1785945614402372879,1
1785945614504218905,1
1785945614601367381,1
1785945614702725808,1
1785945614804472982,1
1785945614914252941,1
1785945615002785352,1
1785945615103292617,1
1785945615206547740,1
1785945615302806910,1
1785945615404149752,1
