k_hitch,k_y,mean_cte,completion_rate
0.1,0.0,0.8526847598001916,0.0
0.1,0.1111111111111111,1.250796558605889,0.0
0.1,0.2222222222222222,0.8913126235325544,0.0
0.1,0.3333333333333333,1.0069342993978945,0.0
0.1,0.4444444444444444,0.6060925918291862,0.0
0.1,0.5555555555555556,0.7770443858850846,0.0
0.1,0.6666666666666666,0.8136807855530941,0.0
0.1,0.7777777777777777,0.7240071434677653,0.0
0.1,0.8888888888888888,0.8319419609150793,0.0
0.1,1.0,0.7624414057920774,0.0
0.3111111111111111,0.0,0.9395324190475417,0.0
0.3111111111111111,0.1111111111111111,0.9922436862153912,0.0
0.3111111111111111,0.2222222222222222,1.0770000645249214,0.0
0.3111111111111111,0.3333333333333333,1.1197770642861782,0.0
0.3111111111111111,0.4444444444444444,1.1348971835949202,0.0
0.3111111111111111,0.5555555555555556,0.7896037791232791,0.0
0.3111111111111111,0.6666666666666666,0.9603390278642501,0.0
0.3111111111111111,0.7777777777777777,0.9418305393798958,0.0
0.3111111111111111,0.8888888888888888,0.7227264701860767,0.0
0.3111111111111111,1.0,1.1980016284247295,0.0
0.5222222222222223,0.0,1.1330556575308826,0.0
0.5222222222222223,0.1111111111111111,1.1681289740632284,0.0
0.5222222222222223,0.2222222222222222,0.9133555578928512,0.0
0.5222222222222223,0.3333333333333333,1.343150222215333,0.0
0.5222222222222223,0.4444444444444444,1.3020786931830401,0.0
0.5222222222222223,0.5555555555555556,1.1943773684388208,0.0
0.5222222222222223,0.6666666666666666,0.9093261889320416,0.0
0.5222222222222223,0.7777777777777777,0.9211364339031631,0.0
0.5222222222222223,0.8888888888888888,0.9667767861937128,0.0
0.5222222222222223,1.0,1.5278688420429096,0.0
0.7333333333333333,0.0,0.9312367739297274,0.0
0.7333333333333333,0.1111111111111111,0.5550139973894991,0.0
0.7333333333333333,0.2222222222222222,0.9656232165286965,0.0
0.7333333333333333,0.3333333333333333,1.0038662938764884,0.0
0.7333333333333333,0.4444444444444444,0.736041114785554,0.0
0.7333333333333333,0.5555555555555556,1.2760381032609331,0.0
0.7333333333333333,0.6666666666666666,1.2455592334625663,0.0
0.7333333333333333,0.7777777777777777,0.9987274578088554,0.0
0.7333333333333333,0.8888888888888888,1.2506547691575332,0.0
0.7333333333333333,1.0,0.6974690795826181,0.0
0.9444444444444444,0.0,1.3349060296814157,0.0
0.9444444444444444,0.1111111111111111,1.2943502747047966,0.0
0.9444444444444444,0.2222222222222222,0.5705838157767346,0.0
0.9444444444444444,0.3333333333333333,1.1939868637838278,0.0
0.9444444444444444,0.4444444444444444,0.8302149347662777,0.0
0.9444444444444444,0.5555555555555556,1.1422323533033811,0.0
0.9444444444444444,0.6666666666666666,0.6828153715241422,0.0
0.9444444444444444,0.7777777777777777,1.0374968714918946,0.0
0.9444444444444444,0.8888888888888888,1.032032761819907,0.0
0.9444444444444444,1.0,1.6245782127461112,0.0
1.1555555555555557,0.0,0.8838527877084019,0.0
1.1555555555555557,0.1111111111111111,0.7312018045509173,0.0
1.1555555555555557,0.2222222222222222,0.8504116054171831,0.0
1.1555555555555557,0.3333333333333333,0.836405371204302,0.0
1.1555555555555557,0.4444444444444444,1.354179828313894,0.0
1.1555555555555557,0.5555555555555556,1.0067561702590164,0.0
1.1555555555555557,0.6666666666666666,0.9053662118500583,0.0
1.1555555555555557,0.7777777777777777,1.2222877833600025,0.0
1.1555555555555557,0.8888888888888888,0.7468779939355439,0.0
1.1555555555555557,1.0,0.9991487485701865,0.0
1.3666666666666667,0.0,1.0965686853254402,0.0
1.3666666666666667,0.1111111111111111,0.6105974029929248,0.0
1.3666666666666667,0.2222222222222222,1.1080453463772983,0.0
1.3666666666666667,0.3333333333333333,0.961265621158929,0.0
1.3666666666666667,0.4444444444444444,0.729720994701086,0.0
1.3666666666666667,0.5555555555555556,1.8280185737975887,0.0
1.3666666666666667,0.6666666666666666,1.036568076620305,0.0
1.3666666666666667,0.7777777777777777,1.0102787116301544,0.0
1.3666666666666667,0.8888888888888888,0.8831164610366062,0.0
1.3666666666666667,1.0,0.5763114407059372,0.0
1.577777777777778,0.0,0.8096690263212138,0.0
