k_hitch,Kp,mean_cte,completion_rate
0.1,0.0,0.9072760070489979,0.0
0.1,0.1111111111111111,1.0367437957796706,0.0
0.1,0.2222222222222222,0.7369476098699976,0.0
0.1,0.3333333333333333,1.2516879050817074,0.0
0.1,0.4444444444444444,1.2786684835897542,0.0
0.1,0.5555555555555556,0.8881542187854731,0.0
0.1,0.6666666666666666,1.3033887760344816,0.0
0.1,0.7777777777777777,1.3079770266972324,0.0
0.1,0.8888888888888888,1.141649800501428,0.0
0.1,1.0,1.0653854527833704,0.0
0.3111111111111111,0.0,0.7652549300906679,0.0
0.3111111111111111,0.1111111111111111,1.4363314318375968,0.0
0.3111111111111111,0.2222222222222222,1.0158752867201815,0.0
0.3111111111111111,0.3333333333333333,0.7116259007187363,0.0
0.3111111111111111,0.4444444444444444,0.8677670154258568,0.0
0.3111111111111111,0.5555555555555556,1.200279220112183,0.0
0.3111111111111111,0.6666666666666666,0.9122050338907137,0.0
0.3111111111111111,0.7777777777777777,1.1730828841823877,0.0
0.3111111111111111,0.8888888888888888,1.133874238515395,0.0
0.3111111111111111,1.0,1.4158752862453015,0.0
0.5222222222222223,0.0,1.237854628088507,0.0
0.5222222222222223,0.1111111111111111,0.7768533467869994,0.0
0.5222222222222223,0.2222222222222222,0.788929382286027,0.0
0.5222222222222223,0.3333333333333333,0.6880021775674173,0.0
0.5222222222222223,0.4444444444444444,1.2203202072465014,0.0
0.5222222222222223,0.5555555555555556,1.2350912693830876,0.0
0.5222222222222223,0.6666666666666666,1.03668741067005,0.0
0.5222222222222223,0.7777777777777777,0.8260231798279216,0.0
0.5222222222222223,0.8888888888888888,0.6202010695469659,0.0
0.5222222222222223,1.0,0.8626455271358701,0.0
0.7333333333333333,0.0,0.9839251760121928,0.0
0.7333333333333333,0.1111111111111111,1.0673355868269963,0.0
0.7333333333333333,0.2222222222222222,0.8894822810091002,0.0
0.7333333333333333,0.3333333333333333,0.8870059268098578,0.0
0.7333333333333333,0.4444444444444444,0.8382210853921854,0.0
0.7333333333333333,0.5555555555555556,0.7870505910578476,0.0
0.7333333333333333,0.6666666666666666,1.1188753083225949,0.0
0.7333333333333333,0.7777777777777777,0.6753759626393873,0.0
0.7333333333333333,0.8888888888888888,0.9335270440239697,0.0
0.7333333333333333,1.0,0.8550295993207889,0.0
0.9444444444444444,0.0,0.8629912299550485,0.0
0.9444444444444444,0.1111111111111111,1.0943297191544903,0.0
0.9444444444444444,0.2222222222222222,1.2438139203661038,0.0
0.9444444444444444,0.3333333333333333,1.3800116591193066,0.0
0.9444444444444444,0.4444444444444444,1.1429140871940875,0.0
0.9444444444444444,0.5555555555555556,1.3274341426368559,0.0
0.9444444444444444,0.6666666666666666,0.8353288887575605,0.0
0.9444444444444444,0.7777777777777777,0.759002735623842,0.0
0.9444444444444444,0.8888888888888888,1.0484869951365638,0.0
0.9444444444444444,1.0,1.2076156463817171,0.0
1.1555555555555557,0.0,0.7936727978492302,0.0
1.1555555555555557,0.1111111111111111,1.08957040419626,0.0
1.1555555555555557,0.2222222222222222,1.2618518585143526,0.0
1.1555555555555557,0.3333333333333333,1.3470591714883065,0.0
1.1555555555555557,0.4444444444444444,1.2939356078815407,0.0
