log10_q_psi2_offset,log10_r_offset,q_psi2,r,mean_cte,completion_rate
-1.5,-1.5,570.8416991174611,0.007266877832325332,0.3222222984684747,0.0
-1.5,-1.0714285714285714,570.8416991174611,0.019494822605590618,0.45320407284731096,0.0
-1.5,-0.6428571428571429,570.8416991174611,0.05229867863374209,0.6097860456171569,0.0
-1.5,-0.2142857142857144,570.8416991174611,0.14030144526942548,0.39124707867043035,0.0
-1.5,0.2142857142857142,570.8416991174611,0.3763860972959564,0.31062278555565964,0.0
-1.5,0.6428571428571428,570.8416991174611,1.0097294006176079,0.4822875882728564,0.0
-1.5,1.0714285714285712,570.8416991174611,2.7087968174071735,0.3520249263629589,0.0
-1.5,1.5,570.8416991174611,7.266877832325331,0.38094653600009437,0.0
-1.0714285714285714,-1.5,1531.3946259927473,0.007266877832325332,0.6270503048871081,0.0
-1.0714285714285714,-1.0714285714285714,1531.3946259927473,0.019494822605590618,0.4139679827968329,0.0
-1.0714285714285714,-0.6428571428571429,1531.3946259927473,0.05229867863374209,0.6879041770980712,0.0
-1.0714285714285714,-0.2142857142857144,1531.3946259927473,0.14030144526942548,0.3047142817720544,0.0
-1.0714285714285714,0.2142857142857142,1531.3946259927473,0.3763860972959564,0.3806321793265456,0.0
-1.0714285714285714,0.6428571428571428,1531.3946259927473,1.0097294006176079,0.5290826578262525,0.0
-1.0714285714285714,1.0714285714285712,1531.3946259927473,2.7087968174071735,0.34440966509694426,0.0
-1.0714285714285714,1.5,1531.3946259927473,7.266877832325331,0.2849785612002398,0.0
-0.6428571428571429,-1.5,4108.265924064711,0.007266877832325332,0.4847800632438104,0.0
-0.6428571428571429,-1.0714285714285714,4108.265924064711,0.019494822605590618,0.3664707750962999,0.0
-0.6428571428571429,-0.6428571428571429,4108.265924064711,0.05229867863374209,0.431335722665521,0.0
-0.6428571428571429,-0.2142857142857144,4108.265924064711,0.14030144526942548,0.37009577701716745,0.0
-0.6428571428571429,0.2142857142857142,4108.265924064711,0.3763860972959564,0.5609070094624996,0.0
-0.6428571428571429,0.6428571428571428,4108.265924064711,1.0097294006176079,0.4481265329921246,0.0
-0.6428571428571429,1.0714285714285712,4108.265924064711,2.7087968174071735,0.4858114478035825,0.0
-0.6428571428571429,1.5,4108.265924064711,7.266877832325331,0.5924119108246664,0.0
-0.2142857142857144,-1.5,11021.227720379373,0.007266877832325332,0.42179798411101493,0.0
-0.2142857142857144,-1.0714285714285714,11021.227720379373,0.019494822605590618,0.3428171910458526,0.0
-0.2142857142857144,-0.6428571428571429,11021.227720379373,0.05229867863374209,0.30874294902318394,0.0
-0.2142857142857144,-0.2142857142857144,11021.227720379373,0.14030144526942548,0.38771176084229364,0.0
-0.2142857142857144,0.2142857142857142,11021.227720379373,0.3763860972959564,0.5829981918134092,0.0
-0.2142857142857144,0.6428571428571428,11021.227720379373,1.0097294006176079,0.2933679171398748,0.0
-0.2142857142857144,1.0714285714285712,11021.227720379373,2.7087968174071735,0.5915388904752545,0.0
-0.2142857142857144,1.5,11021.227720379373,7.266877832325331,0.6034017691588401,0.0
0.2142857142857142,-1.5,29566.601264282104,0.007266877832325332,0.5305461899811836,0.0
0.2142857142857142,-1.0714285714285714,29566.601264282104,0.019494822605590618,0.4097703944455938,0.0
0.2142857142857142,-0.6428571428571429,29566.601264282104,0.05229867863374209,0.3180686274419675,0.0
0.2142857142857142,-0.2142857142857144,29566.601264282104,0.14030144526942548,0.47385764123829033,0.0
0.2142857142857142,0.2142857142857142,29566.601264282104,0.3763860972959564,0.3621262950805059,0.0
0.2142857142857142,0.6428571428571428,29566.601264282104,1.0097294006176079,0.3112101194963777,0.0
0.2142857142857142,1.0714285714285712,29566.601264282104,2.7087968174071735,0.35920479127167343,0.0
0.2142857142857142,1.5,29566.601264282104,7.266877832325331,0.32799284866174033,0.0
0.6428571428571428,-1.5,79318.19689240183,0.007266877832325332,0.37910981601931765,0.0
0.6428571428571428,-1.0714285714285714,79318.19689240183,0.019494822605590618,0.43077978999689626,0.0
0.6428571428571428,-0.6428571428571429,79318.19689240183,0.05229867863374209,0.3193007753725926,0.0
0.6428571428571428,-0.2142857142857144,79318.19689240183,0.14030144526942548,0.29396527484241475,0.0
0.6428571428571428,0.2142857142857142,79318.19689240183,0.3763860972959564,0.4407806298887433,0.0
0.6428571428571428,0.6428571428571428,79318.19689240183,1.0097294006176079,0.4751930626795694,0.0
0.6428571428571428,1.0714285714285712,79318.19689240183,2.7087968174071735,0.4456169695726698,0.0
0.6428571428571428,1.5,79318.19689240183,7.266877832325331,0.5176224846319013,0.0
1.0714285714285712,-1.5,212786.59329241572,0.007266877832325332,0.4912411673741161,0.0
1.0714285714285712,-1.0714285714285714,212786.59329241572,0.019494822605590618,0.5231593990120321,0.0
1.0714285714285712,-0.6428571428571429,212786.59329241572,0.05229867863374209,0.5707061754308106,0.0
1.0714285714285712,-0.2142857142857144,212786.59329241572,0.14030144526942548,0.6602808470262659,0.0
1.0714285714285712,0.2142857142857142,212786.59329241572,0.3763860972959564,0.29407594777856827,0.0
1.0714285714285712,0.6428571428571428,212786.59329241572,1.0097294006176079,0.2950271323660449,0.0
1.0714285714285712,1.0714285714285712,212786.59329241572,2.7087968174071735,0.3744323972673011,0.0
1.0714285714285712,1.5,212786.59329241572,7.266877832325331,0.3856184743534297,0.0
1.5,-1.5,570841.6991174611,0.007266877832325332,0.3622502626213404,0.0
1.5,-1.0714285714285714,570841.6991174611,0.019494822605590618,0.5173059159721063,0.0
1.5,-0.6428571428571429,570841.6991174611,0.05229867863374209,0.551970827453507,0.0
1.5,-0.2142857142857144,570841.6991174611,0.14030144526942548,0.4084168815371566,0.0
1.5,0.2142857142857142,570841.6991174611,0.3763860972959564,0.2907031155626883,0.0
1.5,0.6428571428571428,570841.6991174611,1.0097294006176079,0.4966142562097816,0.0
1.5,1.0714285714285712,570841.6991174611,2.7087968174071735,0.49346102041919515,0.0
1.5,1.5,570841.6991174611,7.266877832325331,0.30954950182272983,0.0
