collided,completed,episode,episode_length,hitch_angle_variance,jackknifed,label,max_abs_cte_tractor,max_abs_cte_trailer,max_abs_hitch_angle,max_inference_ms,mean_abs_cte_tractor,mean_abs_cte_trailer,mean_abs_heading_err_tractor,mean_abs_heading_err_trailer,mean_abs_hitch_angle,mean_inference_ms,mean_min_lidar,min_clearance_m,p95_inference_ms,rms_cte_tractor,rms_cte_trailer,speed_variance,steering_rate_rms,steering_rate_variance,total_reward,truncated
True,False,1,221,0.0035969908342455455,False,forward/lidar_24/dense,0.5040301501943049,0.5796898731363126,0.10519045632801452,0.45703601790592074,0.2675814063729895,0.3184045217721509,0.009333354996762659,0.03199584428974861,0.05128285944010176,0.14621424156860596,0.3154637980784766,nan,0.1783980114851147,0.3057922090927755,0.3348820486859411,4.580424390329946e-06,0.3999524492931814,0.15995591505637774,623.0062283930579,False
True,False,2,223,0.006507143813346685,False,forward/lidar_24/dense,0.5313404083522161,0.6343736827546302,0.2200428475935455,0.39821601239964366,0.27974745322707845,0.3242806068375617,0.00915437778811635,0.03697851861639471,0.06620245719802254,0.15250865538132632,0.31438340627559097,nan,0.20887988794129328,0.3192331966800526,0.35356378625451557,5.5664240870178235e-05,0.39091010603541554,0.1527587001185798,624.9791839321181,False
True,False,3,225,0.013956050813005707,False,forward/lidar_24/dense,0.5879392236388808,0.7954927359780003,0.20977528460939776,0.4022970097139478,0.31099319038726403,0.4525282472511473,0.015563424880712638,0.0636437926247432,0.09637539093613037,0.15066663049057955,0.3117777784665426,nan,0.19705881131812925,0.3371877230689152,0.4829401712578684,7.939353496636159e-05,0.38786431945769634,0.1504276603481159,620.9454031913335,False
True,False,4,222,0.008732519276770895,False,forward/lidar_24/dense,0.5841282323828101,0.7261424673231855,0.1935056896698683,0.3693469916470349,0.30214597569820634,0.4012554148234014,0.01876630711504471,0.05632960752578564,0.07644238498824513,0.1498168708781737,0.31238738655507026,nan,0.19443046330707148,0.34512031042445124,0.43245314878149216,7.480056355765797e-05,0.3963827192130075,0.15709371533878683,615.6393876739364,False
True,False,5,221,0.004474741649149995,False,forward/lidar_24/dense,0.5014780036357931,0.7694029730261576,0.1231201398975421,0.6294749910011888,0.2688206728193126,0.35624621120059674,0.01132882120495218,0.042863507182493765,0.05987392491086909,0.15543753437158478,0.3146040703915902,nan,0.21876799291931093,0.2857799095490394,0.3799741909695452,1.5313624796857285e-05,0.3937683565703758,0.15503752305993693,624.2611593351131,False
True,False,6,225,0.012686635870461777,False,forward/lidar_24/dense,0.5692661020005075,0.785329356991642,0.2084221165551431,0.38590701296925545,0.3030789841708773,0.4286372073953426,0.014730037839571521,0.06225550122885464,0.09767898353186281,0.14487935023175347,0.31308888832728066,nan,0.18664801609702406,0.33145471715084,0.46047815410095827,5.851681600557981e-05,0.4098803447625394,0.16797736992975795,622.9018938046661,False
True,False,7,220,0.0032941874835594074,False,forward/lidar_24/dense,0.5059787389272365,0.5135789759997573,0.1051345040735176,0.36726699909195304,0.26984791221649346,0.3301145835591786,0.010549241913349975,0.03584397569530598,0.050074886917868336,0.14113569129470058,0.3150340884923935,nan,0.18169455725001168,0.2950550070277708,0.3550666819152482,6.280150542851631e-06,0.39876655197555655,0.15900238539058284,621.7800669653321,False
True,False,8,222,0.006553251155825653,False,forward/lidar_24/dense,0.5113623686860262,0.5867272982130057,0.13115980737650976,0.38829699042253196,0.29215299749343354,0.34511360805432073,0.01637739721209204,0.04660426090557076,0.07302292711091884,0.1461054800185249,0.31356981879956014,nan,0.20030598243465644,0.32766870181278895,0.3666306812869764,1.2223699134079763e-05,0.3922784660068124,0.15387738968706607,621.0305329724592,False
True,False,9,222,0.00608372767182323,False,forward/lidar_24/dense,0.5092281474432705,0.6665548941092453,0.16570647179646164,0.48087502364069223,0.2713261791730151,0.3497185549973839,0.010347684376229672,0.0368938334969419,0.0632928420385959,0.13866494470045204,0.3147747726053805,nan,0.1464890025090426,0.30184957898481823,0.3765960151846609,1.85113453987951e-05,0.3979897745120236,0.1583912653322964,624.4133247405698,False
True,False,10,221,0.003707475451228583,False,forward/lidar_24/dense,0.5055950184776704,0.5903803486087815,0.11179143791787116,0.38362701889127493,0.27436530728930864,0.34131266895592816,0.012668062564251355,0.03739229299894576,0.053514393278592295,0.138472100115082,0.31538461263363177,nan,0.14732900308445096,0.32814118711986584,0.36142892778713437,1.1019133008001049e-05,0.40080713088459224,0.1606458817012647,618.8634513737131,False
True,False,11,221,0.0035529479906791024,False,forward/lidar_24/dense,0.5348129329443614,0.627348276253799,0.1565194371302616,0.38208698970265687,0.2750759104060186,0.2960707970479068,0.01046764848324598,0.032738520444136394,0.04492503921441247,0.1462104483254726,0.31553167131691495,nan,0.1883080112747848,0.30795110045161345,0.314831236619692,1.1894242260135684e-05,0.4085913849482488,0.16693805416860055,623.4480378094789,False
True,False,12,222,0.008855627534943686,False,forward/lidar_24/dense,0.5404129258942552,0.7350446998868455,0.1840059142197173,0.3277380019426346,0.293030782860282,0.3834675301724408,0.013143104590773905,0.05089166594525748,0.08063826696085633,0.14715149043220188,0.31332207128808304,nan,0.1983840076718479,0.3245820300199288,0.41814651763947175,3.601144854424797e-05,0.3968964669904379,0.15752637797948904,619.2657934933176,False
True,False,13,221,0.004164207415853294,False,forward/lidar_24/dense,0.5111091572026377,0.5935407580658902,0.14266405511844488,0.37855698610655963,0.2828325767113576,0.34925611183285143,0.011324518389435385,0.039136944722781807,0.05236096991606074,0.14335265669158379,0.3152375539503486,nan,0.18616800662130117,0.3409625746446195,0.37777492925074063,1.0449101093444889e-05,0.4072233785545915,0.16583032292909983,616.4163308317301,False
True,False,14,221,0.0004654615492488446,False,forward/lidar_24/dense,0.5055488296402062,0.6026347732152451,0.05535934146448649,0.37778698606416583,0.2586378345419369,0.27733558011261744,0.006666739341849545,0.015432982545386392,0.025567009119886505,0.14535993984500073,0.31604072060520294,nan,0.1884989906102419,0.28590790500828517,0.29767872360203546,5.912402633994642e-07,0.3945181210083823,0.15564220235154705,627.1731168624603,False
