collided,completed,episode,episode_length,hitch_angle_variance,jackknifed,label,max_abs_cte_tractor,max_abs_cte_trailer,max_abs_hitch_angle,max_inference_ms,max_progress,mean_abs_cte_tractor,mean_abs_cte_trailer,mean_abs_heading_err_tractor,mean_abs_heading_err_trailer,mean_abs_hitch_angle,mean_inference_ms,mean_min_lidar,min_clearance_m,p95_inference_ms,rms_cte_tractor,rms_cte_trailer,speed_variance,steering_rate_rms,steering_rate_variance,total_reward,truncated
False,True,1,224,0.009719864947222838,False,forward/lidar_8/dense,0.5359599792007375,0.7386360336795409,0.16825702580525992,0.5117460095789284,1.0,0.3032771541359319,0.3377657703483023,0.010951910362280508,0.04719116261279306,0.08502571308364845,0.20070015515167533,0.31095982289740015,nan,0.20671799720730633,0.33317711549506496,0.36852104704896577,2.1411911424913357e-05,0.18236586083243803,0.033233755736664636,624.496965907743,False
False,True,2,220,0.002254511472108428,False,forward/lidar_8/dense,0.5001986910342446,0.7296015382737511,0.11338709446846285,0.5110049969516695,1.0,0.26772848480940287,0.31247364875477657,0.008542158251450084,0.02650253519396556,0.04067062295999426,0.20016540445133366,0.31297727227211,nan,0.206906449602684,0.2895706104523286,0.3529920677250449,8.178265128819537e-06,0.18157881047041807,0.032968323502958995,622.5193892479713,False
False,True,3,221,0.0037700086288110757,False,forward/lidar_8/dense,0.5205554968887921,0.5632328597112621,0.1078985770709062,0.5108250043122098,1.0,0.27925312895204757,0.2984574477283051,0.009099326028988395,0.026724919672606987,0.05224852669916278,0.20001333483971015,0.31308823473313274,nan,0.20405800023581833,0.3108604894941388,0.3254211403816086,4.69525072673958e-06,0.1573885599531549,0.024768712043970867,622.9662022139521,False
False,True,4,222,0.008886747797848467,False,forward/lidar_8/dense,0.6148312284423662,0.6612105461320942,0.19572573387417153,0.5051659973105416,1.0,0.30238931015542925,0.33260493605394886,0.012871896172975334,0.04249707050356962,0.08044986089867226,0.2017904416870888,0.3102702710542593,nan,0.20816604956053197,0.3284343188027,0.36054395419515145,6.14329860286837e-05,0.1652780458995755,0.02731641060499794,621.184855469292,False
False,True,5,224,0.014568983673337277,False,forward/lidar_8/dense,0.6541675057301468,0.6594969823347572,0.2231044849884068,0.5166360060684383,1.0,0.3475308440817397,0.37304428792512473,0.01912446371605819,0.05995366463826684,0.10915305519710088,0.19949923210203582,0.3088169642058866,nan,0.20337335226940922,0.3824303224300386,0.40273666257862045,0.00013297130807136455,0.16587504174166467,0.02751124961812191,615.1394922841857,False
False,True,6,221,0.0016021267429016202,False,forward/lidar_8/dense,0.5102520193804173,0.5472828201856405,0.08006949009079428,0.5106359894853085,1.0,0.2731673423992883,0.27695973332209894,0.0067994655335687874,0.016033819108955596,0.03497385809432792,0.19784691865762435,0.31302036149469437,nan,0.2037379890680313,0.3106194370162613,0.2983008572171588,4.678268862622332e-06,0.15822624788342138,0.025030911013141758,624.1117809815377,False
False,True,7,220,0.0003215364668252055,False,forward/lidar_8/dense,0.5147461235664935,0.41277867214225883,0.044009313942034334,0.5185449990676716,1.0,0.2742867380161953,0.2561933100403463,0.003294653532585704,0.005445969692705096,0.014057249017761621,0.19693319038858384,0.312897726893425,nan,0.2003610039537307,0.33409412225847657,0.2833387295694428,4.3476413310296333e-07,0.18337113935157956,0.03362241600343589,618.6516106014215,False
False,True,8,223,0.012870709997952687,False,forward/lidar_8/dense,0.6779879637031313,0.6608310082371822,0.22136365662620053,0.5075560038676485,1.0,0.3363792756934247,0.37392461083926165,0.017892398142731077,0.057272373220025374,0.09943017700066677,0.19861014778861533,0.30834080793397844,nan,0.20322510245023293,0.36041053669506523,0.3959840602506044,0.0001263946856387032,0.13547349334580303,0.01835013968746712,616.6831006125847,False
False,True,9,222,0.007375577325694195,False,forward/lidar_8/dense,0.5079544396249014,0.6087726691824454,0.14483457283768497,0.5260059988358989,1.0,0.29448871060506937,0.32799528394518784,0.011846815412781257,0.044163216668693085,0.07786825171102858,0.20219620670137406,0.31266891875782526,nan,0.20501300459727645,0.3411689703073933,0.3520211364508351,1.6401970653309093e-05,0.16593012405850116,0.027529695321704763,619.7519630003869,False
False,True,10,220,0.001015799851511753,False,forward/lidar_8/dense,0.501387954114537,0.42694982554867256,0.05150034800000844,0.5390260048443452,1.0,0.2579695807838239,0.26305078468913684,0.006024567402131018,0.014697967969689042,0.028442755292417108,0.20064200884503822,0.3142272710800171,nan,0.20814799354411662,0.3083568619712156,0.28591012965100215,1.4539002926419118e-06,0.17462789228587844,0.030489549786089993,622.3174391378597,False
False,True,11,222,0.008205034451612914,False,forward/lidar_8/dense,0.61130567325497,0.6364214477354405,0.17833314269865633,0.526345000253059,1.0,0.3006450039032484,0.3405348739866988,0.014720028547737274,0.04683288283981396,0.07926710371646693,0.1988303152789773,0.31153153245513504,nan,0.20358749825390987,0.3231037085211463,0.35822223221164745,3.753234040090543e-05,0.1527010743991457,0.02331651603170046,621.8817393626784,False
False,True,12,224,0.014716912149248928,False,forward/lidar_8/dense,0.671934536610759,0.7057788813195599,0.2141151042825846,0.5157560080988333,1.0,0.35627556334079785,0.393286491237047,0.019362518194766483,0.06543944499882835,0.10913652234500033,0.19718881698541477,0.30714285892567467,nan,0.2015035024669487,0.3854753439538193,0.41828062457444276,0.00012538490504460372,0.19962397190206266,0.03983642199984107,613.7972028977227,False
False,True,13,221,0.0052394734793537135,False,forward/lidar_8/dense,0.5318789499359645,0.7149708279636906,0.1713261642420814,0.5128449993208051,1.0,0.2752041343735676,0.31093665894901096,0.010398975167842531,0.03128140588509091,0.056954263235363546,0.19636625292072518,0.3133484153456278,nan,0.1998590014409274,0.2870232057842498,0.33913380359612866,2.4227059019886604e-05,0.14860146428811072,0.022082394795876117,625.7617007792145,False
False,True,14,225,0.01132813321292482,False,forward/lidar_8/dense,0.5772445599535347,0.7461719734455363,0.17282706248204446,0.5181960004847497,1.0,0.2952695736215953,0.3641716669379811,0.01585275464928054,0.048349086010235444,0.09368325423383608,0.19747651550763598,0.3117111118634542,nan,0.20358000765554607,0.32218245024171205,0.39523189557476934,2.767552666449587e-05,0.1807360244510554,0.03265342724819121,627.4906687640065,False
False,True,15,220,0.0012060431891171188,False,forward/lidar_8/dense,0.5002288976555936,0.7306758083052837,0.09739883209720554,0.481416005641222,1.0,0.26647065312931106,0.2798737569051291,0.007642239293352189,0.017314279166218364,0.027273411371096755,0.1967355728001249,0.31301136314868927,nan,0.20066945944563486,0.28271174676223915,0.32334560673941076,2.8614667578136802e-06,0.16558237982503815,0.027417524026407555,624.557992359533,False
False,True,16,221,0.002457685243708291,False,forward/lidar_8/dense,0.5220759839709194,0.7558416513219371,0.11831146124433037,0.5259450117591769,1.0,0.2741845740385678,0.29868716332894685,0.01074414849959027,0.025452303515056326,0.0436757074725507,0.1971127057255233,0.31335972768688636,nan,0.2010890020756051,0.2963933212399403,0.343569534757852,8.406366678058434e-06,0.1800034591973881,0.032392051905980664,624.0615842071581,False
False,True,17,221,0.0048684092135235,False,forward/lidar_8/dense,0.5069150989610156,0.6170765759504842,0.16551161238765275,0.5101260030642152,1.0,0.2670289535614004,0.3138958437112147,0.011123520119978154,0.03490881661532356,0.05790090178639895,0.19821794126793843,0.3140158356584575,nan,0.2030079922406003,0.29871677420954523,0.3356076880657038,1.4669333502950965e-05,0.13978652575874825,0.019522288232511762,623.9049428577373,False
False,True,18,222,0.0028822328961003083,False,forward/lidar_8/dense,0.5092847074758813,0.5820874107560218,0.10361159027067893,0.5189250077819452,1.0,0.2653242151571906,0.29774823008757867,0.00889522416397753,0.02621660476013709,0.04501196521008873,0.19753387361462857,0.31479729510642385,nan,0.20213344614603557,0.30258132286962314,0.32379584564495856,2.998093532539062e-06,0.18807824268727258,0.03536978331578857,626.4821827622875,False
False,True,19,225,0.012738973258853111,False,forward/lidar_8/dense,0.7395677188840347,0.708133281752356,0.23301985441050016,0.5059459945186973,1.0,0.3282487034647068,0.36168073147330626,0.013217498254616223,0.05171581042668085,0.09087802066586695,0.1967544400961035,0.3094222226407793,nan,0.20308880484662947,0.36662784038361024,0.3859059858816208,8.119385291315638e-05,0.20461719713613485,0.04183135506716173,620.7943480074774,False
False,True,20,221,0.004510113781359099,False,forward/lidar_8/dense,0.5097297840039586,0.6513528760542167,0.161627029399282,0.5187159986235201,1.0,0.27136666256181535,0.31549854920669146,0.01145856972899574,0.03172054694892218,0.055631255994214784,0.19508837977723467,0.3137217182918911,nan,0.19926800450775772,0.3180074893458924,0.34195919778503997,2.42340645535096e-05,0.1706570853834985,0.029108301174744104,621.3685398534312,False
False,True,21,221,0.0029374948716950006,False,forward/lidar_8/dense,0.5041857875400378,0.5435572478706016,0.09481237586502775,0.5025760037824512,1.0,0.28544543496813946,0.29709892907451346,0.008980550756197463,0.022944051252841154,0.0466820661586434,0.19310109997621203,0.3121832582206208,nan,0.19648800662253052,0.32626166580830246,0.32956788067193266,5.214641565557799e-06,0.1678364883888373,0.02815863379779322,620.6832957489003,False
False,True,22,223,0.009792590733073274,False,forward/lidar_8/dense,0.6056736995721979,0.6212342240817498,0.18731241443214552,0.5114060040796176,1.0,0.3083191330842503,0.37349278043770157,0.01277881683277813,0.04991420428762939,0.083558080758584,0.19413439460117538,0.31003363356996544,nan,0.19934999145334587,0.33760067796442267,0.39980876985325625,5.200133486017232e-05,0.16062572236163616,0.025769062368658335,620.1796614794612,False
False,True,23,226,0.014985861387569402,False,forward/lidar_8/dense,0.6061187597667301,0.758420003060508,0.2270274279256784,0.5099249974591658,1.0,0.32074131253761684,0.37712554930439507,0.0148896938988815,0.054649997973779424,0.10596547211882111,0.19808611050876582,0.3091482320981743,nan,0.2044337561528664,0.3451894076690133,0.40592682621059895,6.867446553306178e-05,0.17733048160696854,0.031404043562791195,626.0547503687534,False
False,True,24,220,0.00025777286927170705,False,forward/lidar_8/dense,0.5003502368821414,0.5637675496255619,0.048076079322852475,0.48097599938046187,1.0,0.27348566761057647,0.2626773488145579,0.006591404659212671,0.011385835661828922,0.022699042564495675,0.19821341881073418,0.312579545378685,nan,0.20217245400999673,0.32063444013952186,0.28605720155335274,4.708298934691598e-06,0.18740989763431976,0.03512219355313366,620.9640395380246,False
False,True,25,221,0.0020299979376075332,False,forward/lidar_8/dense,0.516330111442329,0.7080729376375674,0.09064402798595438,0.5122659931657836,1.0,0.2820384598406439,0.2887375937410496,0.008426103862656596,0.020470915717947364,0.03883067159935471,0.200850325117701,0.31151583804264327,nan,0.20582799334079027,0.3132853493962542,0.31684414082781187,2.287704791243076e-06,0.15759624054144805,0.02483627890831205,622.7842131732832,False
False,True,26,223,0.0052599052842666845,False,forward/lidar_8/dense,0.5423635784057925,0.5554324151347074,0.14634687024164728,0.4287769988877699,1.0,0.291195290027938,0.3136776801894357,0.00827028719042555,0.03016511152182344,0.059543737179067954,0.1973486631391403,0.31234304947703406,nan,0.20153700024820864,0.33349462068320923,0.34166807028457574,1.558636894920366e-05,0.1860814239624175,0.034606278827696804,623.4828497878128,False
False,True,27,221,0.005675065996624015,False,forward/lidar_8/dense,0.5104012434601151,0.6088146857460498,0.139585275372687,0.5233459960436448,1.0,0.29859566358459233,0.31964301522076,0.009621854630304362,0.03378835355547282,0.06345544094062959,0.1968703844676182,0.31150452570138476,nan,0.20075800421182066,0.33993035967553376,0.3419581604085124,1.4562177461220122e-05,0.17511147308730268,0.030660569753763606,618.12866762444,False
False,True,28,220,0.0038612930028825475,False,forward/lidar_8/dense,0.5001649638659128,0.5367410756006509,0.12481055340347753,0.5142760055605322,1.0,0.2784967852071716,0.3134909549265723,0.010141873656311957,0.03147715060513632,0.05464502883563396,0.19644932333242401,0.3126704543828964,nan,0.20064845157321543,0.29861142548992425,0.33433032601250634,9.649978366464733e-06,0.15395190134729528,0.02369493258429088,621.8567642850555,False
False,True,29,222,0.009295855798649454,False,forward/lidar_8/dense,0.5602292485567573,0.6726778019010596,0.15978691611587165,0.5138050037203357,1.0,0.3041821095604484,0.36806502922798323,0.012203932912466735,0.04674539456039887,0.0833770736320831,0.19822299194906057,0.3106756774154869,nan,0.20182300359010696,0.3318910257893781,0.39099963130558785,3.2961914078966346e-05,0.18066597838266732,0.032636626673810294,619.4611851645084,False
