t_ns,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31
1785948164954876623,0.0,-0.009028906933963299,-0.1530843824148178,-0.003548821434378624,-0.04253906384110451,-0.03889003396034241,-4.3827053559652995e-06,-0.00010977473721140996,0.08749999850988388,0.0925000011920929,0.10000000149011612,0.10750000178813934,0.11999999731779099,0.13500000536441803,0.1574999988079071,0.1899999976158142,0.23999999463558197,0.33250001072883606,0.5400000214576721,0.6274999976158142,0.6274999976158142,0.6324999928474426,0.38999998569488525,0.2800000011920929,0.2150000035762787,0.17749999463558197,0.1525000035762787,0.13500000536441803,0.12250000238418579,0.11249999701976776,0.10499999672174454,0.10000000149011612
1785948165053551499,0.0,-0.00744243897497654,-0.15418139100074768,-0.003675417974591255,-0.03787565976381302,-0.04060336947441101,-8.766516657487955e-06,-0.00010979674698319286,0.08749999850988388,0.0925000011920929,0.10000000149011612,0.10750000178813934,0.11999999731779099,0.13500000536441803,0.1574999988079071,0.1899999976158142,0.23999999463558197,0.33250001072883606,0.5400000214576721,0.6274999976158142,0.6274999976158142,0.6324999928474426,0.38999998569488525,0.2800000011920929,0.2150000035762787,0.17749999463558197,0.1525000035762787,0.13500000536441803,0.12250000238418579,0.11249999701976776,0.10499999672174454,0.10000000149011612
1785948165153611473,0.0,-0.00744243897497654,-0.15418139100074768,-0.003675417974591255,-0.03787565976381302,-0.04060336947441101,-8.766516657487955e-06,-0.00010979674698319286,0.08749999850988388,0.0925000011920929,0.10000000149011612,0.10750000178813934,0.11999999731779099,0.13500000536441803,0.1574999988079071,0.1899999976158142,0.23999999463558197,0.33250001072883606,0.5400000214576721,0.6274999976158142,0.6274999976158142,0.6324999928474426,0.38999998569488525,0.2800000011920929,0.2150000035762787,0.17749999463558197,0.1525000035762787,0.13500000536441803,0.12250000238418579,0.11249999701976776,0.10499999672174454,0.10000000149011612
1785948165255465996,0.0,-0.0060834260657429695,-0.1543414145708084,-0.0036509078927338123,-0.03508399799466133,-0.04193776473402977,-8.753439033171162e-06,-0.00010536990157561377,0.08749999850988388,0.0925000011920929,0.10000000149011612,0.10750000178813934,0.11999999731779099,0.13500000536441803,0.1574999988079071,0.1899999976158142,0.23999999463558197,0.33250001072883606,0.5400000214576721,0.6274999976158142,0.6274999976158142,0.6324999928474426,0.38999998569488525,0.2800000011920929,0.2150000035762787,0.17749999463558197,0.1525000035762787,0.13500000536441803,0.12250000238418579,0.11249999701976776,0.10499999672174454,0.10000000149011612
1785948165354356431,0.0,-0.007150285877287388,-0.15447907149791718,-0.0036366223357617855,-0.03712915629148483,-0.040856607258319855,-8.766181053943e-06,-0.00010541860683588311,0.08749999850988388,0.0925000011920929,0.10000000149011612,0.10750000178813934,0.11999999731779099,0.13500000536441803,0.1574999988079071,0.1899999976158142,0.23999999463558197,0.33250001072883606,0.5400000214576721,0.6274999976158142,0.6274999976158142,0.6324999928474426,0.38999998569488525,0.2800000011920929,0.2150000035762787,0.17749999463558197,0.1525000035762787,0.13500000536441803,0.12250000238418579,0.11249999701976776,0.10499999672174454,0.10000000149011612
1785948165455105385,0.0,-0.007931457832455635,-0.1541469544172287,-0.003836726536974311,-0.03854899853467941,-0.040276139974594116,-8.767913641349878e-06,-0.00010979801299981773,0.08749999850988388,0.0925000011920929,0.10000000149011612,0.10750000178813934,0.11999999731779099,0.13500000536441803,0.1574999988079071,0.1899999976158142,0.23999999463558197,0.33250001072883606,0.5400000214576721,0.6274999976158142,0.6274999976158142,0.6324999928474426,0.38999998569488525,0.2800000011920929,0.2150000035762787,0.17749999463558197,0.1525000035762787,0.13500000536441803,0.12250000238418579,0.11249999701976776,0.10499999672174454,0.10000000149011612
1785948165553985164,0.0,-0.007931457832455635,-0.15386883914470673,-0.00394698791205883,-0.038505472242832184,-0.040386758744716644,-8.754753253015224e-06,-0.0001054729291354306,0.08749999850988388,0.0925000011920929,0.10000000149011612,0.10750000178813934,0.11999999731779099,0.13500000536441803,0.1574999988079071,0.1899999976158142,0.23999999463558197,0.33250001072883606,0.5400000214576721,0.6274999976158142,0.6274999976158142,0.6324999928474426,0.38999998569488525,0.2800000011920929,0.2150000035762787,0.17749999463558197,0.1525000035762787,0.13500000536441803,0.12250000238418579,0.11249999701976776,0.10499999672174454,0.10000000149011612
1785948165655888264,0.0,-0.006650171242654324,-0.15386883914470673,-0.00394698791205883,-0.03594432398676872,-0.04166804254055023,-8.754753253015224e-06,-0.0001054729291354306,0.08749999850988388,0.0925000011920929,0.10000000149011612,0.10750000178813934,0.11999999731779099,0.13500000536441803,0.1574999988079071,0.1899999976158142,0.23999999463558197,0.33250001072883606,0.5400000214576721,0.6274999976158142,0.6274999976158142,0.6324999928474426,0.38999998569488525,0.2800000011920929,0.2150000035762787,0.17749999463558197,0.1525000035762787,0.13500000536441803,0.12250000238418579,0.11249999701976776,0.10499999672174454,0.10000000149011612
1785948165754312829,0.0,-0.007186164613813162,-0.15392568707466125,-0.004196105059236288,-0.03642638772726059,-0.04137974604964256,-4.415967396198539e-06,-0.00010548593127168715,0.08749999850988388,0.0925000011920929,0.10000000149011612,0.10750000178813934,0.11999999731779099,0.13500000536441803,0.1574999988079071,0.1899999976158142,0.23999999463558197,0.33250001072883606,0.5400000214576721,0.6274999976158142,0.6274999976158142,0.6324999928474426,0.38999998569488525,0.2800000011920929,0.2150000035762787,0.17749999463558197,0.1525000035762787,0.13500000536441803,0.12250000238418579,0.11249999701976776,0.10499999672174454,0.10000000149011612
1785948165854411652,0.0,-0.007186164613813162,-0.15392568707466125,-0.004196105059236288,-0.03642638772726059,-0.04137974604964256,-4.415967396198539e-06,-0.00010548593127168715,0.08749999850988388,0.0925000011920929,0.10000000149011612,0.10750000178813934,0.11999999731779099,0.13500000536441803,0.1574999988079071,0.1899999976158142,0.23999999463558197,0.33250001072883606,0.5400000214576721,0.6274999976158142,0.6274999976158142,0.6324999928474426,0.38999998569488525,0.2800000011920929,0.2150000035762787,0.17749999463558197,0.1525000035762787,0.13500000536441803,0.12250000238418579,0.11249999701976776,0.10499999672174454,0.10000000149011612
