t_ns,enabled
1785948164914511932,0
1785948164934732374,0
1785948165030250485,0
1785948165131158292,0
1785948165231268763,0
1785948165332144057,0
1785948165430281349,0
1785948165529808507,0
1785948165631457904,0
1785948165730726495,0
1785948165833677210,0
1785948165931187828,0
1785948166034679136,0
1785948166135344120,0
1785948166231941623,0
1785948166332109280,0
1785948166431183464,0
1785948166530542681,0
1785948166631173488,0
1785948166734147596,0
1785948166833152722,0
1785948166931506693,0
1785948167034565924,0
1785948167133439143,0
1785948167232048961,0
1785948167331961763,0
1785948167436881977,0
1785948167532147472,0
1785948167643529831,0
1785948167730306593,0
1785948167830106239,0
1785948167930591410,0
1785948168031195912,0
1785948168130022921,0
1785948168229841991,0
1785948168331081552,0
1785948168430500867,0
1785948168530599818,0
1785948168629618832,0
1785948168750893102,1
1785948168834235714,1
1785948168941724293,1
1785948169036743637,1
1785948169135659032,1
1785948169236979395,1
1785948169335746499,1
1785948169436578143,1
1785948169538460508,1
1785948169635194078,1
1785948169769075092,1
1785948169839570600,1
1785948169939547148,1
1785948170035637787,1
1785948170136449207,1
1785948170237804580,1
1785948170347537642,1
1785948170437540996,1
1785948170538949074,1
1785948170635970557,1
1785948170758225912,1
1785948170835842913,1
1785948170948479613,1
1785948171036190227,1
1785948171137994797,1
1785948171234552010,1
1785948171335932663,1
1785948171437407527,1
1785948171535910079,1
1785948171635254799,1
1785948171751756255,1
1785948171837061581,1
1785948171936130709,1
1785948172042717501,1
1785948172136523081,1
1785948172235240966,1
1785948172335111783,1
1785948172448270451,1
1785948172536849186,1
1785948172634401981,1
1785948172751000816,1
1785948172848102045,1
1785948172936920980,1
1785948173034739415,1
1785948173144943051,1
1785948173237298955,1
1785948173337415443,1
1785948173436339287,1
1785948173538938440,1
1785948173639341272,1
1785948173749273700,1
1785948173836878167,1
1785948173946657726,1
1785948174038774231,1
1785948174137252494,1
1785948174238250895,1
1785948174335654950,1
1785948174437353469,1
1785948174540818344,1
1785948174643005261,1
1785948174752325607,1
1785948174837715383,1
1785948174937866560,1
1785948175036308181,1
1785948175135607684,1
1785948175248663085,1
1785948175337516933,1
1785948175439031510,1
1785948175540871985,1
1785948175639102208,1
1785948175748982443,1
1785948175836938248,1
1785948175935154614,1
1785948176036858381,1
1785948176138066197,1
1785948176240615877,1
1785948176339582026,1
1785948176438927099,1
1785948176536177581,1
1785948176636445401,1
1785948176748905680,1
1785948176835151994,1
1785948176936261407,1
1785948177034212134,1
1785948177136630834,1
1785948177235017286,1
1785948177336666843,1
1785948177438886817,1
1785948177537914408,1
1785948177643068998,1
1785948177756407159,1
1785948177840068180,1
1785948177935685685,1
1785948178035511604,1
1785948178138700311,1
1785948178235421625,1
1785948178338096077,1
1785948178436369886,1
1785948178535653836,1
1785948178638268254,1
1785948178750409228,1
1785948178835064038,1
1785948178936255950,1
1785948179035607679,1
1785948179140601015,1
1785948179241486934,1
1785948179336198748,1
1785948179436007930,1
1785948179538598604,1
1785948179637453133,1
1785948179739039361,1
1785948179836531290,1
1785948179943189988,1
1785948180045795286,1
1785948180136293919,1
1785948180237643275,1
1785948180336834423,1
1785948180436808378,1
1785948180537058053,1
1785948180633967085,1
1785948180734398302,1
1785948180837511999,1
1785948180941557819,1
1785948181038146809,1
1785948181136908792,1
1785948181242283645,1
1785948181336074664,1
1785948181450391958,1
1785948181542454542,1
1785948181636096820,1
1785948181736385377,1
1785948181843701567,1
1785948181935441356,1
1785948182041474916,1
1785948182134533177,1
1785948182250743744,1
1785948182339340944,1
1785948182434612840,1
1785948182538326170,1
1785948182634428074,1
1785948182738636075,1
1785948182840830545,1
1785948182934630364,1
1785948183035271187,1
1785948183145167614,1
1785948183247240416,1
1785948183336097111,1
1785948183439535650,1
1785948183535439404,1
1785948183645844966,1
1785948183741954678,1
1785948183851063657,1
1785948183939528693,1
1785948184037357305,1
1785948184147252739,1
1785948184234585390,1
1785948184334233703,1
1785948184434906623,1
1785948184537163943,1
1785948184636571129,1
1785948184735786790,1
1785948184834333918,1
1785948184936140856,1
1785948185037067736,1
1785948185137639437,1
1785948185234617527,1
1785948185336251883,1
1785948185435999528,1
1785948185537418006,1
1785948185635099733,1
1785948185738331193,1
1785948185858198285,1
1785948185935716243,1
1785948186036596049,1
1785948186136254539,1
1785948186241371431,1
1785948186335537213,1
1785948186435725767,1
1785948186534283840,1
1785948186635294978,1
1785948186736043388,1
1785948186835041218,1
1785948186935683866,1
1785948187051726908,1
1785948187135306998,1
1785948187236819719,1
1785948187335391809,1
1785948187434752978,1
1785948187536698032,1
1785948187635982750,1
1785948187737696341,1
1785948187835984550,1
1785948187934373274,1
1785948188036802278,1
1785948188135844846,1
1785948188237742250,1
1785948188336544043,1
1785948188435693397,1
1785948188535072327,1
1785948188637298765,1
1785948188735018221,1
1785948188834838924,1
1785948188937714309,1
1785948189036952851,1
1785948189140170614,1
1785948189234755225,1
1785948189334394482,1
1785948189434967207,1
1785948189534954187,1
1785948189635686405,1
1785948189735796876,1
1785948189835004696,1
1785948189935804180,1
1785948190034631317,1
1785948190135866590,1
1785948190235556952,1
1785948190336892036,1
1785948190437021516,1
1785948190543570611,1
1785948190640443738,1
1785948190745178635,1
1785948190849228648,1
1785948190938058591,1
1785948191037901022,1
1785948191137866945,1
1785948191235688068,1
1785948191335311709,1
1785948191436632680,1
1785948191536165918,1
1785948191634786425,1
1785948191735337645,1
1785948191834749248,1
1785948191946646214,1
1785948192035083698,1
1785948192134328351,1
1785948192244680056,1
1785948192335945399,1
1785948192438310498,1
1785948192536084771,1
1785948192635075593,1
1785948192734615839,1
1785948192835175540,1
1785948192935650054,1
1785948193036354687,1
1785948193134722290,1
1785948193238342658,1
1785948193336505807,1
1785948193438873946,1
1785948193538312493,1
1785948193639414354,1
1785948193737684226,1
1785948193845438829,1
1785948193936235423,1
1785948194036320326,1
1785948194143219575,1
1785948194235772253,1
1785948194340026688,1
1785948194438687516,1
1785948194535744008,1
1785948194635830127,1
1785948194735771921,1
1785948194838895378,1
1785948194935624853,1
