t_ns,steer_angle_cmd,steer_rate_cmd,vel_cmd,accel_cmd
1785948164954564805,0.0,0.07184635102748871,0.0,0.0
1785948165053280099,0.0,0.07292734831571579,0.0,0.0
1785948165153376010,0.0,0.07292734831571579,0.0,0.0
1785948165255246790,0.0,0.07284562289714813,0.0,0.0
1785948165354297485,0.0,0.07281311601400375,0.0,0.0
1785948165454791520,0.0,0.07381200790405273,0.0,0.0
1785948165553793030,0.0,0.07433001697063446,0.0,0.0
1785948165655735268,0.0,0.07433001697063446,0.0,0.0
1785948165753999764,0.0,0.07572973519563675,0.0,0.0
1785948165854011544,0.0,0.07572973519563675,0.0,0.0
1785948165953541422,0.0,0.07407928258180618,0.0,0.0
1785948166054233095,0.0,0.07407928258180618,0.0,0.0
1785948166154007876,0.0,0.07315636426210403,0.0,0.0
1785948166253336212,0.0,0.07262882590293884,0.0,0.0
1785948166354545916,0.0,0.07333552837371826,0.0,0.0
1785948166455477980,0.0,0.07376724481582642,0.0,0.0
1785948166568009877,0.0,0.07386145740747452,0.0,0.0
1785948166653637613,0.0,0.07390738278627396,0.0,0.0
1785948166754459849,0.0,0.07390738278627396,0.0,0.0
1785948166861402460,0.0,0.07118337601423264,0.0,0.0
1785948166953767261,0.0,0.07118337601423264,0.0,0.0
1785948167054556536,0.0,0.0696098655462265,0.0,0.0
1785948167161806516,0.0,0.0696098655462265,0.0,0.0
1785948167255520669,0.0,0.07059086114168167,0.0,0.0
1785948167353874096,0.0,0.07059086114168167,0.0,0.0
1785948167453197632,0.0,0.07095500826835632,0.0,0.0
1785948167555553674,0.0,0.07116079330444336,0.0,0.0
1785948167661378555,0.0,0.0717085525393486,0.0,0.0
1785948167753752060,0.0,0.07207052409648895,0.0,0.0
1785948167858025791,0.0,0.07207052409648895,0.0,0.0
1785948167954438520,0.0,0.07329318672418594,0.0,0.0
1785948168061340106,0.0,0.07329318672418594,0.0,0.0
1785948168155554721,0.0,0.07329318672418594,0.0,0.0
1785948168253191679,0.0,0.07319121062755585,0.0,0.0
1785948168353695858,0.0,0.07307137548923492,0.0,0.0
1785948168454801911,0.0,0.07255997508764267,0.0,0.0
